Movie Name,Original Language - Year of Release,Overview,MDL Rating
Jigen Daisuke,Japanese Movie - 2023,"Feeling that something’s wrong with his long-time trusted Combat Magnum, Jigen returns to Japan after several years in search of a watchmaker known as the world’s best gun smith. (Source: Drama-Otaku.com) ~~ Adapted…",7.5
Neverland,Chinese Movie - 2023,,7.9
Yutori Desu ga Nani ka International,Japanese Movie - 2023,,7.3
Jyoshidaikoji no Meitantei,Japanese Movie - 2023,"Set within the chaotic entertainment district of Joshidaikoji in Nagoya, Japan. Hironaka Mio works as a hostess at a club in Yanagase, Gifu. She is quick-tempered and is full of justice. Her younger brother is Hironaka…",
Shunga Sensei,Japanese Movie - 2023,"Haruno Yumiko works as a waitress at a café that has been around for a long time. She spends her days aimlessly and without a dream for her future. On an ordinary day at her job, Yumiko notices a middle-aged man Haga…",6.6
The Moon,Japanese Movie - 2023,"Yoko had won a literary award as a writer but has been unable to write new stories for a long time. She gets a job at ""Crescent Garden,"" a nursing home for people with severe disabilities, where she meets Sato, her young…",
Lost Summer,Japanese Movie - 2023,,
Zombie Film with Grandpas & Grandmas,Taiwanese Movie - 2023,Zombie Film with Grandpas and Grandmas follows filmmaker Tzo Juo as she embarks on an epic zombie superhero film filmed entirely with residents of her village and her grandma. Navigating the trials of filmmaking and…,
Ukauka to Shuen,Japanese Movie - 2023,,
Kururi no Eiga,Japanese Movie - 2023,,
Somedays,Japanese Movie - 2023,"Kaoru Matsudaira and her younger brother, Hayato, were left in an orphanage by their mother. When they left it, they spent their time looking for her. One day, they hear that the orphanage will close and so they return…",
Shiraishi Koji no Kesshite Okutte Konaide Kudasai,Japanese Movie - 2023,,7.1
Love Mate (Movie),Korean Movie - 2023,"As a team leader, Seo Lee Jun is anything but soft. A leader at So What Media, Lee Jun's content production team is one of the company’s best but by demanding the best from his team, he’s developed a reputation as…",7.5
14 Again: I Love You Two Thousand,Thai Movie - 2023,"This romantic comedy tells the story of a young girl who flees a top university in Bangkok to her hometown to ponder her future, telling her mom that she has a school break. Should she fight to graduate and take a path…",7.7
Miss Fortune,Korean Movie - 2023,"It tells the story of a woman, Ji Hye, who dreams of turning her life around, and her daughter infiltrates the house of a cultural asset broker with a fortune of 60 billion won.

(Source: Mnews.jtbc)",7.1
Once Upon a Star,Thai Movie - 2023,"Set during the Mitr-Petchara era of Thai cinema, a troupe—full of dreams—travels all around the country peddling medicine and live-dubbing films. 

(Source: MyDramaList)",7.7
Flirtatious,Filipino Movie - 2023,"When a young lady experiences a sexual awakening, she’ll find it hard to resist temptation - even if it means sleeping with her mother's boyfriend.

(Source: vivamax.net)",5.8
The Time of a Flower,Chinese Movie - 2023,"~~ Release dates: Oct 11, 2023 (Festival) || May 25, 2024 (Cinema)",
Matched,Japanese Movie - 2023,"The story revolves around Rinka, a wedding planner, who herself has very little luck with romance. When her company links up with dating app Will Will, Rinka reluctantly registers and is matched up with Tomu. When they…",7.6
Remembering Fan Chan: Dream a Dream Again,Thai Movie - 2023,"Actors and team members share their behind-the-scenes memories of making the coming-of-age movie that became a classic of Thai cinema. 

(Source: Netflix)",
The Guest,Korean Movie - 2023,"In a dingy motel located somewhere on the outskirts of the city, Min Cheol and Young Kyu are secretly recording guests who visit the motel. They then sell the footage to a loan shark to pay off their debts. Although…",7.4
Last Summer,Korean Movie - 2023,"Min Woo, a young man who works at a community center in a small village, lives with his father and grandmother and often hangs out with his best friend Sung Hoon. The weather doesn’t always favor the farmers, and Min…",
Isle of Snakes,Korean Movie - 2023,"Once upon a time, three men were shipwrecked and stranded on a deserted island while traveling in a turtle boat to fight a war against the Japanese. The older, more storied one is Mong Hwi, the younger, stronger, and…",
House of the Seasons,Korean Movie - 2023,"Sung Jin heads to his family home for a jesa, memorial ceremony. Sung Jin’s family runs a tofu factory, and although the family strictly adheres to traditional values, it radiates a vibrant energy. Together, they eat,…",
Christmas in Summer,Korean Movie - 2023,"Soon to be married, Eun Soo heads to Gangneung to see her long-lost father. The old seaside town has changed dramatically from the one in her childhood memories. Exhausted from the sweltering heat of August, Eun Soo…",
Fisher Boy,Korean Movie - 2023,"In sweltering heat, a boy comes home from school and looks for water. Only his bedridden grandfather is home; his mother isn’t, and there is no water. After drinking up his grandfather’s water, the boy heads out…",
The Time of Huannan,Taiwanese Movie - 2023,"In the Monga Delta washed by Tamsui River and Xindian River in Taipei, there is a traditional market with a history of 55 years, called Huannan. Wherever there are people, there are gangsters. In the Huannan Market in…",
Drug Shore,Taiwanese Movie - 2023,"A Zhe is a newcomer to the gay scene, but he quickly learns of the chemical side of the subculture. At a party one night he meets Xiao Fei who was led into drug use by his boyfriend, and the two of them follow a path…",6.7
After the Fever,Japanese Movie - 2023,"Sanae goes to prison after she fails in an attempt to murder her boyfriend. Six years later, she meets and marries Kenta, a forestry worker. Their marriage takes a new turn when the wife of Sanae’s ex-boyfriend shows…",6.3
FAQ,Korean Movie - 2023,"Dong Chun is a tired elementary school student who has been shuttled from one school to the next with enthusiasm by her mother, but finds that she does not perform well at any of them. One day, she picks up a barrel…",
Concerning My Daughter,Korean Movie - 2023,"An independent daughter moves into her mother’s house due to financial problems, and brings with her same-sex lover, Rain. Mom is left bewildered. Meanwhile, the mom, who works as a caregiver, strives to provide the…",
The Berefts,Korean Movie - 2023,"An old man and a young woman in shabby clothes enter an abandoned motel in a deserted town. It is only after a while that we realize that they are a father and his developmentally disabled daughter, and that the two…",
Sorigouldari: The Sound Underpass,Korean Movie - 2023,"In 2046, an AI named Salvation senses the end of the world. A group of artists are the only ones who can stop it. The Resisters, as they call themselves, recognize that their artistic performance is the only thing that…",
Work to Do,Korean Movie - 2023,"Jun Hee is a fourth-year associate manager at a small and medium-sized heavy industry company in the province. When he is transferred to the human resources department, Jun Hee is immediately tasked with creating a list…",
Heritage,Korean Movie - 2023,,
Flavor of Sisterhood,Korean Movie - 2023,"Even before Yeon Joo finishes unpacking, her older sister Seon Joo unexpectedly barges into the cramped room, not large enough for the household items, and old possessions that fill it. 

(Source: BIFF.kr)",
Republic,Chinese Movie - 2023,"In a tiny, six-square-meter room, a young Chinese man named Er Yang envisions a republic of his own. A self-proclaimed communist whom others consider an idealist, Er Yang is a preposterous dreamer, and he is happy as…",
The Voices of the Silenced,Korean Movie - 2023,"This film delves into the historical experiences of Park Soo Nam, born in colonial-era Japan, now nearly 90 years of age. She had lived half her life when she swapped pen for camera to retrace the story of Zainichi-Koreans…",
Killers Never Old,Taiwanese Movie - 2023,"A skilled killer named Shui is forced to retire after a failed mission. He moves into an apartment arranged by the organization. However, unexpected murders start happening in the community. Shui decides to investigate…",
Push Pause,Japanese Movie - 2023,"The Coco guesthouse cultivates new relationships, providing a platform for confronting personal pasts and futures. Shiko, leaving her hometown due to family issues, lacked confidence and avoided connections. Yet, at…",7.8
Doi Boy,Thai Movie - 2023,"A young ethnic Shan man moves from the war-torn Shan State buffering Thailand and Myanmar to Chiang Mai, Thailand. Refusing to return home to fight for the military yet undocumented as a refugee in the new country, he…",6.8
Borrowed Time,Chinese Movie - 2023,"Soon-to-be married Mak Yuen Ting leaves for Hong Kong in search of her father, who left twenty years before. Her father, Mak Ka Fai, had come to Guangzhou for work, met Yuen Ting’s mother, married, and lived with her…",7.8
What to Say,Korean Movie - 2023,"Dong Young meets his best friend of 10 years, Jung Min, and declares that he will do a movie. After hearing the unexpected news, Jung Min is dumbfounded, Dong Young begins to explain the scenario he wrote. (Source: aydenstory.modoo.at)",7.7
Six Singing Women,Japanese Movie - 2023,"Kayajima and Uwajima both wander into a strange, but beautiful village because of a car accident. These two men have totally personalities from each other. At the village, they meet six beautiful, but bizarre women.…",7.5
Ji Yi Tong Dao,Chinese Movie - 2023,,6.7
My Streamer,Thai Movie - 2023,"J.J., tries to flirt with Dara by making her lunchboxes every day before Dara starts her daily live streaming. J.J., who is a huge fan of Dara, never realizes that her idol is going give up and turn her back on what…",6.3
At the End of the Film,Korean Movie - 2023,"After a decade of false starts and failed projects, film director Si Won is about to make a mountain movie. However, the film faces another setback, and then the director’s pet cat Luca dies. In the depths of despair…",
Blesser,Korean Movie - 2023,"Sang Yeon is a confident and competent political reporter who lives a carefully planned life. After a long wait, she gives birth to twins, but the second one, Ji Woo, is diagnosed with a second-degree developmental disability.…",
The Young Hoodlum,Taiwanese Movie - 2023,"Cheng Han and his three buddies grew up in poor, dysfunctional families. They decide to form a new family. They rob from the rich to help themselves, claiming these acts fill the social inequality gap. When a female…",
That Summer's Lie,Korean Movie - 2023,"First-year high school student Da Young is required to write about her summer vacation as an assignment. She chooses to write about her relationship and conflicts with her boyfriend, Byung Hoon, who is in the same grade.…",
Delivery,Korean Movie - 2023,"Gynecologist Gui Nam and his wife, Wu Hee, find themselves unable to have a child. They have a good life now, but they need to have a child to inherit the property of Wu Hee’s father. Mi Ja and Dal Soo are a poor unmarried…",
Morrison,Thai Movie - 2023,"Born to an American father and a Thai mother, Jimmy has chosen a simple life over the glamourous existence of a pop star. He visits the hotel where he spent his childhood, intending to oversee its remodeling. The old…",
Mada Kimi wo Shiranai,Japanese Movie - 2023,"A series of stories involving a group of young people, the first centering on a coffee shop where an odd collection of items is left in the lost and found section while a part-timer named Anne writes the day’s menu…",
Hakushi Project Vol. 2,Japanese Movie - 2023,"The second installment of the Hakushi Project contains two works. ""Oneechan no Damedashi (お姉ちゃんのダメ出し)"" is about two siblings who lost their parents in a car accident. Older sister Hazuki has raised…",
The Black Box,Taiwanese Movie - 2023,Homeless Hank trades his future for a black box and enters a time loop. He enjoys the indulgence without any consequences until he finds that he needs a tomorrow to meet his son for a second chance reconciliation. With…,
Lonesome Vacation,Japanese Movie - 2023,"Set in Koenji, Tokyo. Eichi Furuya is a private detective who is known for his regent hair. One day, Eichi receives a request from his ex-girlfriend, Kyoko. She had been searching through her late father’s belongings…",
Jidaiokure no Saisentan: Fu no Tani Yochien no Kodomotachi,Japanese Movie - 2023,"A documentary filmed over the course of a year captures Amano Yuko, who created an ideal kindergarten based on her belief in the inherent “nurturing power” of children. It is centered on a kindergarten in Kawasaki…",
Taisetsuna Hito (Kari),Japanese Movie - 2023,"Kataoka Yuri is a budding novelist, but she pays her bills with a part-time job as a “rental girlfriend” under the name of Yuki. This also helps her find material for her next work as she meets a variety of clients…",
Ballerina,Korean Movie - 2023,"Ok Ju used to work as a bodyguard. She excels in physical activities like martial arts, sword fighting, gunmanship, and motorcyle riding. Ok Ju is friends with Min Hee, who is a ballerina. Min Hee asks Ok Ju for a favor.…",7.9
"The Pig, the Snake and the Pigeon",Taiwanese Movie - 2023,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.

(Source: Letterboxd)",7.7
Undercurrent,Japanese Movie - 2023,"Kanae runs a bathhouse. Suddenly, her husband Sekiguchi Satoru disappears. Kanae goes through a lot because of this and temporarily closes the bathhouse. When she reopens for business, a man named Hori Takayuki comes…",7.6
Between the White and Black Keys,Japanese Movie - 2023,"The year is 1988, and the Showa period is coming to an end. At a yakuza-run cabaret bar in Ginza, Hiroshi, an aspiring jazz pianist, is asked by a mysterious man to play “The Godfather: Theme of Love.” The problem…",6.9
Analog,Japanese Movie - 2023,"Mizushima Satoru is a designer, who prefers traditional things like handmade items and handwritten works. One day, he happens to meet a mysterious woman, Miharu Miyuki, at the cafe named Piano. She seems to have similar…",7.8
Love Machine,Chinese Movie - 2023,,8.4
Day Tripper,Chinese Movie - 2023,"On an ordinary day in a city in northern China, people struggle with their lives as usual. A middle-aged man finds his job has been given to a young person. The man's wife wants a new life. Some high school students…",6.9
Nibiiro Chocolaville: Biennale,Japanese Movie - 2023,,
All the Songs We Never Sang,Japanese Movie - 2023,"A rebellious teen, Natsumi, ventures from Tokyo to a small provincial island where her aunt Reiko lives. Reiko is an ""ama-san"", a traditional Japanese pearl diver. She has been at odds with Natsumi’s mother, her twin…",
Sayonara Monotone,Japanese Movie - 2023,"Shuta Seno is a university student living by himself in Tokyo. Despite being assailed by loneliness and regrets, he decides to start working with a “family agency service” and soon begins to learn about what family…",
My Next Doll,Thai Movie - 2023,"Itt feels confindent in his relationship with Anna and decides to propose marriage, then the chaos starts up again. Anna's feelings have become too complicated for her programming and she crashes. The only path forward…",
It's Okay!,Korean Movie - 2023,"High school student In Young loses her mother in a car accident. Her world is pretty harsh when she is left alone, but she is stronger, brighter, and more spirited than this girl thinks. She has a fierce wit and bold…",
Oya no Okane wa Darenomono: Hotei Sozokunin,Japanese Movie - 2023,"Ogame family have run a pearl farm in Mie Prefecture for generations but when the matriarch passes away, it sets in motion a battle for the inheritance, the estate, and the pearls which come to a total of 600 million…",
Urban Crow,Japanese Movie - 2023,"~~ Adapted from the play ""Urban Crow: Iki mo Dekinai"" (アーバンクロウ　呼吸（いき）もできない) directed by Kaneshita Tatsuo (鐘下辰男).",
Moro,Filipino Movie - 2023,"Set in the Maguindanao region of Western Mindanao, Philippines, Moro follows two brothers, Jasim, the diligent elder brother, and Abdel, the irresponsible younger brother who has squandered his savings on gambling. After…",
Short Trial Project 2023,Japanese Movie - 2023,,
Antonio Inoki wo Sagashite,Japanese Movie - 2023,"A docu-drama that looks back at the life of professional wrestler, businessman, and politician Antonio Inoki, who passed away in October 2022 at the age of 79. Viewers get to see rare archival footage, the people whom…",
Kyrie,Japanese Movie - 2023,"In the Great East Japan Earthquake, a young girl named Luca loses her family and is left with a disability that prevents her from speaking properly. She can, however, make her voice heard when she sings. When she remembers…",8.4
Solids by the Seashore,Thai Movie - 2023,"A intimate relationship between a young woman from a local conservative Muslim family and a rebellious female artist from the city.

(Source: IMDb)",8.0
Triad 2,Hong Kong Movie - 2023,,6.8
The Undertaker,Thai Movie - 2023,"The story of a young Isan man who works as an undertaker and has a romantic relationship with a woman called Bai Kao, but their love story ends in tragedy. 

(Source: HouseSamyan.com)",6.9
Picnic,Korean Movie - 2023,"Eun Sim, at the age of eighty, has returned to her hometown after more than sixty years. She is relieved to spend some time with her old friends Geum Soon and Tae Ho, who, unlike her, are still living in their hometown.…",7.8
Salli,Taiwanese Movie - 2023,"Hui Jun , a simple rural woman with a deep desire for love but equally shy can only communicate her emotions through a dating app under the name ""Salli"". She is engaging in romantic exchanges with a French man. Despite…",
Ms. Apocalypse,Korean Movie - 2023,"In 1999, Young Mi, cruelly nicknamed “Ms. Apocalypse,” develops a crush on a married man who is imprisoned for embezzlement. Young Mi ends up imprisoned for aiding his crime. When she is released, her crush’s wife,…",7.4
Hito,Filipino Movie - 2023,"Jani lives in a dystopian world of nuclear reactors and military curfews. After getting beaten up in a fight, she is telepathically contacted by a hovering lapdog whose people entrust her with a talking catfish rescued…",
Because I Hate Korea,Korean Movie - 2023,"""Because I Hate Korea"" is the story of Gye Na, a woman in her late 20s, who leaves her job, family, and boyfriend to move to New Zealand in search of happiness. (Source: MyDramaList) ~~ Adapted from the novel “Hanguki…",8.2
Keys to the Heart,Filipino Movie - 2023,"Troubled and alone, a boxer moves in with his long-lost mother and autistic pianist brother — but must fit in with a family he hasn't known for years.

(Source: Netflix)",7.8
Instant Daddy,Filipino Movie - 2023,"A taxi driver raises a baby left behind in his cab as his own daughter. But his life takes a sharp turn when the birth mother resurfaces. (Source: Netflix) ~~ Remake of the Mexican movie ""Instructions Not Included"" (No…",7.5
Ahasss,Filipino Movie - 2023,"Jake, a young houseboy, falls for his boss' battered wife. As he helps her escape from her abusive husband, things get wild, messy, and bloody.

(Source: vivamax.net)",6.6
The Better Life,Chinese Movie - 2023,,
I’m Short of Money,Japanese Movie - 2023,"Kurosawa is an unpopular film director who has only made one mid-range hit in the past, but since then he has managed to support his only son by directing fake ghost stories and seminar videos. One day, he is asked to…",
Dignity,Filipino Movie - 2023,"In a future Philippines, where assisted suicide has become a service available to the public, Mariel experiences her first day as an apprentice at a local euthanasia agency called Dignidad.

(Source: sdfff.org)",
Love Reset,Korean Movie - 2023,"Jung Yeol and Na Ra fell in love with each other and got married. During their marriage, they have grown to hate each other due to their personality differences. They decide to get a divorce. A month later, their divorce…",8.0
Self-Portrait: 47 KM 2020,Chinese Movie - 2023,"As coronavirus begins to sweep the globe, Zhang returns to her father’s village with her camera, seeking to understand where the extraordinary phenomenon might sit in the grand palimpsest of China’s history. As with…",
Ang Mga Halang,Filipino Movie - 2023,"Five bank robbers on the run find unexpected refuge in a remote town, but their hidden past threatens to unravel a mystery that makes them turn against each other. Nick, the leader of the heist finds out that ""Trust…",
Rural Star,Chinese Movie - 2023,"The film tells about the falling idol, A Da, who came to a beautiful seaside town by accident and formed a band with the locals to compete, face the 'trend' music collision, justify the 'earth flavor' culture, and make…",
"Sono Koi, Jihanki de Kaemasu ka?",Japanese Movie - 2023,"Salaryman Koiwai Ayumu just can’t tear his eyes away from the strong, muscular man as he checks on the stocks of the vending machine in his office. He may be a proper adult now, but everything about the emotions Yamashita…",7.8
Hoshi 35: Kaiju no Miko,Japanese Movie - 2023,,
The Great War,Chinese Movie - 2023,The film will start with the decision of the central government to enter the Korean War and end with the signing of the armistice agreement. It will show the great deeds of the heroic people's volunteers in the war to…,7.6
Almost People,Japanese Movie - 2023,,
The Silent Service,Japanese Movie - 2023,"A Japanese Maritime Self-Defense Force (JMSDF) submarine sank in a maritime accident near Japan. Japan was shocked by the news that the survival of all 76 crew members, including the captain, Second Lieutenant Shiro…",7.6
Moscow Mission,Chinese Movie - 2023,"Tough Chinese detectives go on a mission to Moscow to hunt down ruthless robbers who have been plaguing the trans-Siberian railway with violence and chaos. (Source: IMDb) ~~ Based on the real case of ""China-Russia Train…",7.3
Be Reckless,Chinese Movie - 2023,"Chun Yuan experiences life accompanied by the emotional robot Chun Cheng.

(Source: Sohu.com)",7.4
Chang'e and the Jade Rabbit's Mid-Autumn Adventure,Chinese Movie - 2023,"Chang'e and the Jade Rabbit snuck off to the mortal realm to go around the village during the Mid-Autumn Festival.
 
(Source: TMDb)",6.3
Bad Lands,Japanese Movie - 2023,"Neri and her younger brother Jo make money by perpetrating fraud cases. One night, they happen to score hundreds of millions of yen. Since that time, they are chased by various nefarious people. (Source: AsianWiki) ~~…",7.1
Eivom Theater on Garosu Street,Korean Movie - 2023,"Filmmakers gathered at Garosu-gil Eivom Theater! Director Lee was moved by the fact that Eivom Theater was holding a special exhibition of his film, so he headed to the theater. President Choi is a film producer, but…",
Manami 100%,Japanese Movie - 2023,"A ten-year love story told from the perspective of the selfish and eccentric main character, ""I"", who falls for Manami-chan in high school but also navigates relationships with others from his adolescence. Eventually,…",
"Kon, Kon",Japanese Movie - 2023,"Kensei Horiuchi, a university student who lives an ordinary life, meets his classmate Ukai Nanase. Kensei, who has a rational personality, is confused about interacting with Ukai, who is bright and lively and has many…",
Island in Between,Taiwanese Movie - 2023,"S. Leo Chiang reflects on his relationship with Taiwan, the United States and China from the islands of Kinmen, just a few miles from mainland China.

(Source: IMDb)",6.6
Before the Sunset,Japanese Movie - 2023,"Known as the ""God of Management,” Kazunori built up an enterprise all on his own and earned respect from society, but after his retirement, he is spending his days alone and lonely at a nursing home. His only solace…",
Yun Qing Ming,Chinese Movie - 2023,,7.3
Champion,Chinese Movie - 2023,"~~ Remake of the Spanish movie ""Champions"" (Campeones) [2018].",7.5
Under the Light,Chinese Movie - 2023,"The story revolves around Su Jian Ming and Li Hui Lin jointly investigating an undercurrent criminal case involving a huge interest group. In order to investigate the case, Su Jian Ming ignores the persuasion of his…",7.0
The Ex-Files 4: Marriage Plan,Chinese Movie - 2023,"In a relaxed, humorous and thoughtful way, it explores the emotions and life of contemporary urban men and women. In the movie, Meng Yun and Yu Fei, who are of marriageable age, are facing the confusion of their relationship.…",7.2
The Djinn's Curse,Thai Movie - 2023,"Khong Khaek or ""The Djinn’s Curse"" is a legend known to locals as the ""Legend of Toa Nanna."" In the human world, we are the masters of our domain, but in the sinister realms of djinn, they reign supreme. Win’s family…",5.9
Love Punch,Taiwanese Movie - 2023,The film revolves around a woman in her late twenties who rediscovers her talent for boxing after a long hiatus. She unexpectedly meets her former boxing coach and the pair work together to help her reach the final rounds…,
A Journey in Spring,Taiwanese Movie - 2023,"After placing his wife’s remains in a freezer, an old man takes his memories of her on a journey in the spring rain to face his life’s regrets.

(Source: Letterboxd)

~~ Release dates: Sep 28, 2023 (Festival)",
Bloody Nameless River 2,Chinese Movie - 2023,"During Korean War Chinese veteran Du Chuan was ordered to reorganize the reconnaissance platoon to carry out the mission of raiding deep behind enemy lines. In order to survive the main force, the Volunteer Army's third…",
An Afternoon with Berti,Taiwanese Movie - 2023,"Berti, a 29-year-old Uyghur living in Marseille, struggles to adapt to his new life, especially after his ex-girlfriend Mihriay, a political activist, suddenly disappeared. He tries to ease his loneliness by holding…",
Boston 1947,Korean Movie - 2023,"Ki Jung won the gold medal at the 1936 Berlin Olympics, but because Korea was under Japanese colonial rule at the time, he wore the Japanese flag on his chest. In 1947, two years after Korea’s liberation from Japanese…",8.0
Dr. Cheon and Lost Talisman,Korean Movie - 2023,"Despite not believing in the supernatural, Dr. Cheon and his assistant, In Bae, make their living by traveling the country to perform fake exorcisms for innocent believers. As a professional con man, Cheon is understandably…",7.7
A Very Good Girl,Filipino Movie - 2023,"Several years after the death of her mother, Mercy is ready to take down the people she blames for her misfortune. Taking the identity of “Philo,” a rich philanthropist just returning from Italy, she gets close to…",7.2
Immortal-Slaying Knife,Chinese Movie - 2023,,6.7
Time Traveler,Taiwanese Movie - 2023,"A mostly silent film that spans four eras showcasing the concept of time, love and friendship among three individuals.

(Source: MyDramaList)

~~ Release dates: Sep 27, 2023 (Online) || Sep 30, 2023 (TV)",
Langitngit,Filipino Movie - 2023,"Layla falls for Popoy, the grandson of her landlady. Unknown to them, the old woman, through the holes in the wall, observes and listens to the restrained groans and squeals of Layla and Poppy's lovemaking. (Source:…",6.8
Lei & Mar,Filipino Movie - 2023,"Lei and Mar have been best friends for years. Five years ago, they even wrote a bucket list for them to fulfill through their life. But now, Lei is being forced to move abroad. In their last two weeks together, Mar makes…",7.6
BJJ: Woman on Top,Filipino Movie - 2023,"Elise learns the martial art and combat sport Brazilian Jiu Jitsu to learn to defend herself, but she soon realizes that BJJ moves can also be used in passionate lovemaking.

(Source: Vivamax)",5.7
The Last Resort,Filipino Movie - 2023,"Journey with Robert and Emily, a couple teetering on the edge of separation. Determined to rekindle their fading romance, they heed the counsel of their marriage therapist, embarking on a weekend getaway to a secluded,…",
Our Dating Sim (Movie),Korean Movie - 2023,School friends Lee Wan and Shin Gi Tae are inseparable school friends who spend every single moment of free time they have together. But Lee Wan has a secret: He has a crush on his best friend and wants their relationship…,8.1
Nihon Toitsu 58,Japanese Movie - 2023,,
Lonely Eighteen,Hong Kong Movie - 2023,"This is a story about how family can impact the growth of a young woman. It follows Elaine, who grew up in poverty in the 1980s, and her best friend Ying as they enter the Hong Kong entertainment industry to change their…",
The Special Gift,Filipino Movie - 2023,"A gifted child, loved by his mother and siblings and admired by his teachers, is longing for the affection of his own father.

(Source: RC Gomez Entertainment Productions Facebook)",
Onna Kazoku,Japanese Movie - 2023,Three sisters of the Fujieda family return to a mountain village where patriarchal traditions remain in place. Their mother and grandmother welcome them home at a time when a festival will take place. This is a festival…,
Visitors: Complete Edition,Japanese Movie - 2023,"Haruka, Nana, and Takanori visit the home of Souta, a band member they have lost contact with. However, Souta's house has an eerie atmosphere with newspapers covering all the windows, and there is something strange about…",6.3
Candle in the Tomb: The Worm Valley,Chinese Movie - 2023,"~~ Adapted from the 3rd volume in the novel series ""Candle in the Tomb"" (鬼吹灯) by Zhang Mu Ye (天下霸唱).",7.0
"Congratulations, Dx!",Filipino Movie - 2023,"The story follows Dexter after receiving good news about his status, two years into being a Person Living with HIV (PLHIV). He proceeds through his day like a normal queer person would do: get a new hairstyle, and fancy…",
Joshu Rei,Japanese Movie - 2023,"Miyama was sent to prison after committing murder on behalf of her boss, a congresswoman. There is a rumour in the prison that brainwashing and deaths occur in the prison and Miyama’s cellmates become subject to it.…",
Still Love,Thai Movie - 2023,"When a fragile bond is broken, there is only love that can heal and embrace it.

(Source: Thai = Wonderland Films Thailand Facebook || Translation = MyDramaList)",
Fly Girl,Japanese Movie - 2023,University student Tachibana Rui moved to Japan when she was in junior high school and having her nationality questioned left her with a nagging question about the differences between people and an inability to get along…,
Immortal Species,Thai Movie - 2023,"This thriller begins when a herb called Chalawan is sent to a fourth-year student of the Botany faculty, Nawa. Wanting to know the source of the rare plant, Nawa invites his friends Burin, Namwhan, Champagne, Fifa, et…",
Jue Jing Wei Qing,Chinese Movie - 2023,,
Kumarn,Thai Movie - 2023,,
Video City,Filipino Movie - 2023,"When a strange device sends a film student on a series of time leaps back to 1995, he falls for a woman working in a video rental shop there.

(Source: Netflix)",7.4
Havana,Korean Movie - 2023,"Jeong Min, a rookie lawyer, becomes Yoon Ah's public attorney, as she is accused of murdering her husband. Against a nasty prosecutor, a mysterious judge, and all the suspicions surrounding the defendant, Jeong Min seeks…",7.2
Dead Silence,Chinese Movie - 2023,"In a world filled with wonders and oddities, a young blacksmith named Lu Li is carried forward by the wheel of destiny. After the tragic loss of his newlywed wife, he flees his hometown. Through a twist of fate, he becomes…",5.9
Futari no Kizuato,Japanese Movie - 2023,"Kizaki Mina, a 3rd year high school student who, during her 2nd year of high school, experienced the loss of her best friend Aoba Haru, who had planned to perform with her at the school festival. Due to the sadness caused…",
Conjuring Curse,Chinese Movie - 2023,"A mysterious letter addressed to Wu Lao Gou, Wu Xie's deceased grandfather, disrupted the retirement plan of the Golden Trio, i.e., Wu Xie, Zhang Qi Ling, and Wang Pang Zi. The letter referred to a mysterious underground…",7.7
Wild Flowers,Filipino Movie - 2023,"Barrio lass Dian takes care of film star Kevin who gets into an accident deep into the woods. Little does Kevin know; Dian is not as sweet and delicate as she seems.

(Source: vivamax.net)",6.3
Someone in Glowing Twenties,Chinese Movie - 2023,,
Ready o/r Rot,Hong Kong Movie - 2023,"Guy and Heidi are finally headed for the altar, but pressure from Guy’s mother creates so much friction between them that they wonder why they got married in the first place. Meanwhile, Grey Bear suspects that his…",8.2
The New World,Japanese Movie - 2023,"On a sunny June day, Kaname summons old friends to the wilderness with a purpose, but only Fuku arrives. 

(Source: shortshorts.org) 

~~ Release date: Sep 16, 2023 (Festival)",
Wonderful Chef,Chinese Movie - 2023,"Chef Qian Wang Wang went to the city to apply for a job, but was mistaken for a fortune teller. Then, because he stood out in the international culinary competition, he was known as the ""Kitchen God"". Chef Qian used…",
Wish Comes True,Hong Kong Movie - 2023,"~~ Release dates: Sept 16, 2023 (Festival)",
Car Modify,Japanese Movie - 2023,"Bar Modify’s is located in downtown Tokyo and it is a haven for car enthusiasts. Three people who go there are Arisu, who actually works at the place, Takuya, an aspiring screenwriter, and Kento, a mechanic. All three…",
Don't Call It Mystery: The Movie,Japanese Movie - 2023,"Kuno Totono is a college student with naturally curly hair. He is extremely smart and loves curry, but doesn't have any friends or a girlfriend. Kuno Totono loves to talk and he can often solve difficult problems simply…",7.8
My Heavenly City,Taiwanese Movie - 2023,It chronicles three interconnected stories about three different characters’ struggle for survival. They explore the aspirations of new Asian immigrants to the city of their dreams: New York. A lonely woman who is…,7.8
Dancing Green,Chinese Movie - 2023,"Zhou Ran goes into a small town in the province of Fujian looking for someone and, through a parrot, she accidentally meets Xu Zhao and Lin Zhi Guang. The two are involved in a fraud scheme, while Zhou Ran decides to…",7.6
Abyss,Japanese Movie - 2023,,
Threads of Blue,Japanese Movie - 2023,,
Dangerous Bees,Chinese Movie - 2023,"The new type of drug ""Honeybee"" is wreaking havoc in the drug market of Jiangzhou. As the creator of the drug, known as ""Poison Bee,"" is captured and brought to justice, the formula for the drug faces disappearance,…",
Choose the Life I Want,Chinese Movie - 2023,,
