Movie Name,Original Language - Year of Release,Overview,MDL Rating
Operation Undead,Thai Movie - 2024,"1941: World War II in Chumphon, Mek, a new sergeant, and Mok, his younger brother in the Youth Soldier unit, face a mysterious threat when ""something"" belonging to the Japanese goes missing during their landing. This…",
The Tsientang Storm,Chinese Movie - 2024,,
Beautiful Audrey,Korean Movie - 2024,"Unlike Ki Hoon, who is happily running a noodle restaurant with his mother in his hometown, Ji Eun, who has built a wall between herself and her home due to her desire to succeed as an idol singer, and who hurt each…",
Sadako: Tomurai no Pendant,Japanese Movie - 2024,"Tokudaiji Shunichi, a fourth-year film major at Jonan University and aspiring actor, is the leader of the 'Urban Legend Research Circle'. The Circle has a YouTube channel, but it doesn't get a lot of hits. So Shunichi…",
Gekijo Ban: Announcertachi no Senso,Japanese Movie - 2024,"The movie is based on real events to depict the unrevealed relationship between radio and war. During the Pacific War, Japanese military battles were supported by ''radio warfare''. The Japan Broadcasting Corporation…",
Boku no Naka no Brownie,Japanese Movie - 2024,,
Pilot,Korean Movie - 2024,"Jung Woo goes from being a successful, popular pilot to being unemployed one morning. However, he succeeds in getting a new job after accidentally taking on a newly laundered identity. (Source: HanCinema, MyDramaList)",8.3
To Live through Death,Chinese Movie - 2024,"On a certain island in the Pacific, an invincible human-smuggling organization kidnaps and defrauds Chinese people. In order to rescue his kidnapped adopted daughter, the usually taciturn Chen does not hesitate to reveal…",8.0
Pretty Boys,Filipino Movie - 2024,"Grey is a flamboyant and charming twink, and his longtime best friend is Jonas, a heartthrob with a masculine appeal. While Jonas effortlessly navigates the gay dating scene, Grey struggles to find love, convinced his…",7.4
Package Deal,Filipino Movie - 2024,"A wealthy widow, Manet, is quickly swept off her feet by Ron, a man who works in a courier delivery service she owns. Ron seems to be the complete package: handsome, smart, and good in bed. Their romance quickly progresses…",8.0
How to Slay a Nepo Baby,Filipino Movie - 2024,"A group of entitled nepo babies go to Sagada for a wild long weekend to celebrate their 1st work anniversary – Ada, the ‘Queen Bee’ of the group; J, her influencer boyfriend; Bella, a model; Kel and Sho , twins…",
Kung Fu Boys 2,Chinese Movie - 2024,,
"Ima, Boku wa Uso wo Tsuiteiru",Japanese Movie - 2024,,
Decoded,Chinese Movie - 2024,"In the 1940s, the world situation was turbulent, and it was crucial to decipher the enemy's communications codes quickly and accurately. Rong Jin Zhen has shown a unique talent for numbers since he was a child. He accidentally…",
Crazy in Love with You,Filipino Movie - 2024,"When a broken-hearted woman receives flower bouquets from an anonymous secret admirer, she goes on a quest to learn his identity; and in doing so, learns more about herself than she could imagine. (Source: tickets.iwanttfc.com)",
Love Permanently,Chinese Movie - 2024,,
She Dao Ren,Chinese Movie - 2024,,
Under One Person,Chinese Movie - 2024,"Zhang Chu Lan was a normal college student until he gets caught up in a terrible incident in a small village while visiting his grandfather's grave. While walking through the graveyard to pay visit to his deceased grandfather,…",
Moshimo Tokugawa Ieyasu ga Sori Daijin ni Nattara,Japanese Movie - 2024,"In the year 2020, when Covid-19 is rapidly spreading around the world, chaos ensues and people's daily lives are completely upended. A virus outbreak suddenly occurs at the prime minister's office in Japan. This leads…",
Kaskasero,Filipino Movie - 2024,"A talented mechanic and driver, Migs quickly finds success when a customer he likes, Gabbi, leads him into the life of street car racing. But as he goes along this life and learns of Gabbi’s past, Migs makes rash decisions…",
Bakuage Sentai Boonboomger GekijoBoon! Promise the Circuit,Japanese Movie - 2024,"The Boonboomgers and HIKAKIN are filming a collaboration at a circuit purchased by Taiya Hando when suddenly, a princess from the planet Trickle escapes! The Boonboomgers protect her, who has escaped from the invasion…",
Mada Yume wo Mite Itai,Japanese Movie - 2024,"Maeda Yumeko, is a university student who chases her dreams as she aspires to become a manga artist. One day, she won a major publisher’s manga magazine award. As a result, she teams up with hitmaker editor Mutsuki…",
Kamen Rider Gotchard: The Future Daybreak,Japanese Movie - 2024,"A huge army of enemies from the future world suddenly attacks through a time-space gate! Houtaro Ichinose/Kamen Rider Gotchard and the others manage to fight back. In the future, 20 years later, Houtaro, Kamen Rider…",
The Bad Kids,Chinese Movie - 2024,"~~ Release date: Jul 26, 2024 (Festival)",
Three Wishes,Chinese Movie - 2024,,
Closer,Chinese Movie - 2024,,
Pha Dam Kham Ai Cinderella Story,Thai Movie - 2024,"One night at a molam festival, a crowd surrounds the stage. The singer tells of the land of Mueang Sing Than Khon ruled by King Pha Ngoen. The hero of the story is Prince Pha Dam, handsome and courageous yet still unmarried.…",
Lose Lost,Chinese Movie - 2024,"~~ Release date: Jul 25, 2024 (Festival)",
A Family,Chinese Movie - 2024,"~~ Release date: Jul 25, 2024 (Festival)",
Group Photo,Chinese Movie - 2024,,
2 Person,Chinese Movie - 2024,"~~ Co-production with the U.S.A.
~~ Release date: Jul 25, 2024 (Festival)",
The Monkey King Is a Girl,Chinese Movie - 2024,"~~ Co-production with the U.S.A.
~~ Release date: Jul 25, 2024 (Festival)",
Once Upon a Time in Asia,Chinese Movie - 2024,"~~ Adapted from the novel ""Huan Dan Shi Zen Yang Lian Cheng De 3"" (坏蛋是怎样炼成的3) by Liu Dao (六道).",
Sagrada Luna,Filipino Movie - 2024,"Delves into the intricate web of a secretive cult, where deception lurks beneath the surface, love is tested and sacrifices are made, set against the backdrop of a mysterious and secluded community. The film follows…",
The Room Apart,Chinese Movie - 2024,"~~ Release date: Jul 24, 2024 (Festival)
~~ Co-production with France and the U.S.A.",
Mimi's Confusion,Chinese Movie - 2024,"~~ Release date: Jul 24, 2024 (Festival)",
Within a Budding Grove,Chinese Movie - 2024,"~~ Release date: Jul 24, 2024 (Festival)",
Xu Yao Wo Shi Da Gei Wo,Chinese Movie - 2024,,
A Chaotic Dream,Chinese Movie - 2024,,
Frankenfish by the River,Chinese Movie - 2024,"~~ Release date: Jul 24, 2024 (Festival)",
Person of the Year,Chinese Movie - 2024,,
Init,Filipino Movie - 2024,"When a young barrio lass moves into the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex. (Source:…",
Daddysitter,Filipino Movie - 2024,"Mara is a student taking on an unusual ''daddysitter'' job. As she grows close to her wealthy, ill client, his estranged son's return complicates everything.

(Source: vivamax.net)",7.6
All Quiet On the Westlake,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Distant Water Won't Quench Immediate Thirst,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Dragon Seeking Coffin,Chinese Movie - 2024,,
Fitness Club,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Two Girls,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
The Small Village,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Sailing Song of June,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Crush! The Heart Subway!,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Reset,Chinese Movie - 2024,"~~ Release date: Jul 23, 2024 (Festival)",
Tomorrow,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Starwalk,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
My Own Name,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
"Not Satisfied, Redo",Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Soul,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Broke Bum Losers,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Complaints,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
A Surprise of Ex,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
First Time,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Old House‎,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Playing House,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Echoes of Stars,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Future Lovers,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
I'm Not Shakespeare,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Let's Drink the Wine,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Xin Fang Ke,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
"Farewell, Farewell",Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Cage,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Extracurricular Activity,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
A Silent Farewell,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Liu Dian Qian,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)
~~ Co-production with Macau and Portugal.",
I Bring Spring Home,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Panorama,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Before Dawn,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Diamond Over Beijing,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Dog Tashi,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Shards,Chinese Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)",
Hung Lung Daan Si Gin,Hong Kong Movie - 2024,"~~ Release date: Jul 22, 2024 (Festival)
~~ Co-production with China.",
Born to Be Shadow,Chinese Movie - 2024,,
Everybody's Looking for Something,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
I Just Want to Be Wanted,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival) 
~~ Co-production with the U.S.A.",
"Fa Guang De, Wan Hua Tong Ban De",Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Baozhda,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
The Novelist,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Foliage,Chinese Movie - 2024,"~~ Co-production with Spain and the U.S.A.
~~ Release date: Jul 21, 2024 (Festival)",
Street Spirit,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Before Divorce,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
The Dreamer in the Jungle,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Sally's Memory,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Growing in Shampoo,Chinese Movie - 2024,"~~ Release date: Jul 21, 2024 (Festival)",
Tomb Guarding Man,Chinese Movie - 2024,,
Ano Ko wa Dare?,Japanese Movie - 2024,"During the summer vacation period, temporary teacher Kimijima Honoka is in charge of a supplementary class. One day, a female student suddenly jumps off from the school rooftop and mysteriously dies in front of Honoka.…",
Maharot,Filipino Movie - 2024,"Tantan, a small-town young man, falls for Joni, a free-spirited woman who sells herself yet teaches him about love. As their bond deepens, will their love defy life's twists?

(Source: vivamax.net)",6.4
The Troubles of Li's Family,Chinese Movie - 2024,,
Run for Money the Movie,Japanese Movie - 2024,"In high school, Yamato, Eijiro, Ken, Riku, Yugo and Joji were all members of the track and field team. They were close friends who wore matching bracelets. After high school, though, they went their separate ways. That…",7.0
Oh My Goddess!,Chinese Movie - 2024,,
The Luang Phee,Thai Movie - TBA,,
A Samurai in Time,Japanese Movie - 2024,"During the Edo period in Kyoto, a samurai prepares to fight a ronin when a flash of lightning hits him. Waking up, he learns he’s been transported through time to the present day, and the duel location is now a film…",
Fight for Tomorrow,Hong Kong Movie - 2024,"It tells the story of Shi San Lang, a gangster who no longer has a glorious past. After meeting his son whom he has not seen for many years, he unexpectedly makes a comeback. As his career and family affection gradually…",
A Wasted Night,Japanese Movie - 2024,"Aya and Asuka, call girls in Tokyo, navigate their lives amidst the bustling cityscape. Aya, with her free-spirited nature, operates at her own rhythm, while Asuka is indecisive and carefree. Despite their contrasting…",
Winter Stuff,Japanese Movie - 2024,"A rural town in Nagano. Close friends Ken and Akira have always done everything together. Ken works hard on the farm and Akira in printing, surrounded by magnificent mountains. With the death of Ken’s grandfather,…",
A Vegetarian Life,Chinese Movie - 2024,,
Romance in Red Dust,Chinese Movie - 2024,,
Fire of Last Night in Yimi’s Woods,Chinese Movie - 2024,"~~ Release date: Jul 16, 2024 (Festival)
~~ Co-production with the U.S.A.",
In Summer,Chinese Movie - 2024,,
Hana and Koto,Japanese Movie - 2024,"Friends since childhood, high school seniors Koto and Hana live in a port town. Koto always follows around the reliable Hana, revering her like an older sister. One day they meet Keiichi, who shares the same ambitions…",
Life Is Snow,Japanese Movie - 2024,"Ota, a Japanese war orphan left behind in China, was working at a bento factory in the snowy north, until the dire financial straits of his employer led to his firing. With no other job prospects, Ota goes to manager…",
Matsuzaka-san,Japanese Movie - 2024,"Kijima is thinking of making a film about a woman who sweeps a high school sports field at night, but hasn’t been able to get anywhere with the script. One day, he falls for a new coworker of his, named Matsuzaka,…",
Loudness,Japanese Movie - 2024,"Genroku era, Japan (1688–1704). A husband and wife struggle side-by-side in a remote village in the Nagaoka Domain of Echigo Province. The man plows the desolate land, his wife preparing meals as she waits for his…",
The Next Day,Japanese Movie - 2024,High school student Yui invites her friend Kaede over to her backyard to watch a meteor shower said to come around only once every few decades. Her father Yuichi decides it’s a great excuse for a barbecue and starts…,
A Perfect Vacation,Chinese Movie - 2024,,
Xin Yang Wu Di,Chinese Movie - 2024,,
Poems of Flower Rain,Japanese Movie - 2024,"Harumi is an ordinary university student, preoccupied both with relationships within her family and off-hand remarks by her friends. Her older sister Reiko wants to get married, but faces opposition from her mother and…",
Happy Life,Japanese Movie - 2024,"~~ Release dates: Jul 14, 2024 (Festival)",
