Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
28,#1145,Suspicious Partner,Korean Drama - 2017,"Noh Ji Wook is a brainiac prosecutor and Eun Bong Hee is a rookie justice department intern, who always seems to find herself in the most unfortunate and embarrassing situations. Bong Hee is falsely accused of murdering…",40 episodes,8.3
29,#843,Extraordinary You,Korean Drama - 2019,"What would you do if you found out that you were, in fact, a character in a comic? And an extra character on top of that? Change the course of the story, obviously! Eun Dan Oh is a 17-year-old high-school student from…",32 episodes,8.3
30,#249,Hometown Cha-Cha-Cha,Korean Drama - 2021,"After a conflict with her boss, dentist Yoon Hye Jin escapes the city to a seaside village where she'd vacationed to before as a little girl. When she learns the village is without a dentist, she decides to set up her…",16 episodes,8.7
31,#90,Extraordinary Attorney Woo,Korean Drama - 2022,"Diagnosed with autism spectrum disorder, 27-year-old Woo Young Woo graduated at the top of her class from the prestigious Seoul National University for both college and law school due to her high IQ of 164, impressive…",16 episodes,8.9
32,#681,Because This Is My First Life,Korean Drama - 2017,A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today. Nam Se Hee is a single man in his late 30’s. He has chosen not…,16 episodes,8.4
33,#8662,Love Alarm,Korean Drama - 2019,"The cellphone app Love Alarm is created. If someone likes you and they are within 10 meters of you, the alarm for the app rings. The app also shows how many people like you, but the app doesn't reveal specific details…",8 episodes,7.1
34,#275,"Kill Me, Heal Me",Korean Drama - 2015,"A traumatic childhood experience leaves Cha Do Hyeon, suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he…",20 episodes,8.7
35,#3665,Cinderella and the Four Knights,Korean Drama - 2016,"Eun Ha Won is in her third year of high school and dreams of becoming a teacher. Unattached from her father, stepmother, and stepsister and poorly treated by them, Ha Won still manages to maintain her bright personality…",16 episodes,7.8
36,#1529,The K2,Korean Drama - 2016,Kim Je Ha is a former mercenary soldier known as “K2” who suddenly turns into a fugitive when he is wrongfully accused of killing his girlfriend while he is serving in Iraq. He finds his way back to Korea and gets…,16 episodes,8.2
37,#1678,Romance Is a Bonus Book,Korean Drama - 2019,Cha Eun Ho is a successful and handsome writer who is also the youngest chief editor at a publishing company. He has a calm demeanor and remains reasonable at work. He then becomes involved in the life of his childhood…,16 episodes,8.1
38,#40,Reply 1988,Korean Drama - 2015,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention…",20 episodes,9.1
39,#2189,She Was Pretty,Korean Drama - 2015,"As a young girl, Hye Jin was impossibly cute and lived a comfortable life with her wealthy parents. Since entering her teens, both her looks and fortunes have drastically changed. She currently lives rent-free with a…",16 episodes,8.0
40,#31,Alchemy of Souls,Korean Drama - 2022,"Set in a fictional country called Daeho that does not exist in history or on maps, it is about the love and growth of young mages as they overcome their twisted fates due to a forbidden magic spell known as the ""alchemy…",20 episodes,9.1
41,#38,Hospital Playlist,Korean Drama - 2020,"The stories of people going through their days are seemingly ordinary but actually special at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets its ending. The…",12 episodes,9.1
42,#252,Sweet Home,Korean Drama - 2020,"Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people…",10 episodes,8.7
43,#837,Tale of the Nine-Tailed,Korean Drama - 2020,"The mythical nine-tailed fox, or gumiho, Lee Yeon had to settle in the city many centuries ago. Able to transform into human form, he eradicates supernatural beings that threaten the mortal world. His real aim is to…",16 episodes,8.3
44,#1640,The King: Eternal Monarch,Korean Drama - 2020,"Lee Gon is the third Korean emperor of his generation. His citizens regard him as the perfect leader. But behind this flawless appearance, hides a deep wound. When he was eight years old, his father was murdered before…",16 episodes,8.1
45,#649,Doom at Your Service,Korean Drama - 2021,"Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She…",16 episodes,8.4
46,#1216,Touch Your Heart,Korean Drama - 2019,"Oh Yoon Seo is a popular actress. She is famous for her beautiful appearance, but her acting is bad. She gets involved in a scandal with the son from a chaebol family. Her acting career declines precipitously. Oh Yoon…",16 episodes,8.2
47,#1773,Start-Up,Korean Drama - 2020,"Set in one of the world’s most advanced tech sector, “Start Up” tells the tale of the razor-thin margins between ultimate success and abject failure. The story takes place in the fictional Sandbox Company, where…",16 episodes,8.1
