Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
698,#9650,'Cause You're My Boy,Thai Drama - 2018,"This is the story of Mork, a grade eleven mischievous boy who sells porn DVDs at his father's barbershop. When his father leaves a handsome boy Tee in the middle of a haircut, Mork attempts his first haircut, which ends…",12 episodes,6.9
699,#2060,Professional Single,Chinese Drama - 2020,"Single since birth, Yuan Qian and Qin Shen are two people who will probably end up being single for life because they want to. Set against the backdrop of an art school, the story follows students who overcome many difficulties…",24 episodes,8.0
700,#2037,Mr. Bad,Chinese Drama - 2022,"Nan Xing is an online novel writer whose main character is based on her idol, Lu Zi Chen. The main antagonist is Xiao Wu Di, a cunning and manipulative martial artist. One day, Nan Xing makes a wish for an ""unforgettable…",24 episodes,8.0
701,#2569,Bromance,Taiwanese Drama - 2015,"Because of one simple word from a soothsayer, Pi Ya Nuo has been raised as a boy all her life. By chance, she saves underworld mob boss Du Zi Feng and his sister. His sister falls in love with Pi Ya Nuo at first sight.…",18 episodes,7.9
702,#212,Through the Darkness,Korean Drama - 2022,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing…",12 episodes,8.7
703,#3945,Last Cinderella,Japanese Drama - 2013,"Sakura is a single 39-year-old woman. She works at a beauty salon as its vice manager. Sakura makes customers pretty, but she isn't interested in making herself pretty. She envies falling in love, but at the same time…",11 episodes,7.7
704,#4233,Hotel King,Korean Drama - 2014,"An heiress struggles to keep her 7-star hotel afloat with the help of the general manager who attempts to take revenge on his father. While the relationship of the two deepens into love, they also gradually learn about…",32 episodes,7.7
705,#7260,The New Employee,Korean Drama - 2022,"Seung Hyun is a virgin guy in his late twenties. A late bloomer, he finally manages to score the internship of his dreams. On his first day at work, he runs into the handsome yet cold Kim Jong Chan. Who is he? Just Seung…",7 episodes,7.3
706,#10118,HIStory: My Hero,Taiwanese Special - 2017,"After dying, a young girl's soul takes over the body of a lonely boy to try to be with her boyfriend once again. However, she has one week for her boyfriend to fall in love with her new body. Or else both her and the…",4 episodes,6.7
707,#2214,Life,Korean Drama - 2018,"This series examines the hospital as a breeding ground for misuse of power. It is a place of conflicting interests and clashing egos. The doctors have the power to save lives, but the board has the power to kill doctors.…",16 episodes,8.0
708,#436,High School Return of a Gangster,Korean Drama - 2024,"Kim Deuk Pal is a 47-year-old gangster who is the #2 guy in his gang. He doesn't have an educational background due to his poor parents, but he dreams of attending a university. Deuk Pal has been studying to achieve…",8 episodes,8.5
709,#7497,Dream Knight,Korean Drama - 2015,"A young girl named Joo In Hyung, suffering from her past experiences until a group of mysterious men suddenly enter her life. The fantasy romance drama touches on dreams, love, and friendship.",12 episodes,7.3
710,#1289,Todome no Kiss,Japanese Drama - 2018,"Dojima Otaro works as a popular host. Because of a past incident, he believes that love makes people unhappy. He now only pursues money and power. A mysterious woman appears in front of Dojima Otaro. The mysterious woman…",10 episodes,8.2
711,#7801,Hidden Agenda,Thai Drama - 2023,"For the first time, university student Zo resolves to pursue his long-time crush Nita. In order to woo her, he approaches Joke, Nita's ex, for dating advice. Joke agrees to help him in exchange for a place in the debate…",12 episodes,7.2
712,#827,Like in the Movies,Filipino Drama - 2020,"A prequel to the unproduced teleplays on Wattpad, GAYA SA PELIKULA tells us about Karl, a 19-year-old recluse architecture student in the middle of an identity crisis. He is forced by his parents to move into his uncle’s…",8 episodes,8.4
713,#3115,One More Happy Ending,Korean Drama - 2016,"This drama focuses on the story of former singer Han Mi Mo who was in a band called “Angels,” and her friends in their 30’s. As the divorce rate and second marriages are becoming higher in the nation, these friends,…",16 episodes,7.8
714,#4419,Entertainer,Korean Drama - 2016,"Seok Ho is a manager who finds success in raising a highly popular idol group. He hopes for more success as he plans to take his group and build his own label, but he eventually falls flat on his face. He deceives people…",18 episodes,7.7
715,#574,Back from the Brink,Chinese Drama - 2023,"After a lover's betrayal, the ancient dragon Tian Yao found himself badly wounded and heartbroken. The woman he loved betrayed him by dismembering him and stripping him of his dragon scales and then sealing his body…",40 episodes,8.5
716,#1911,The Love Equations,Chinese Drama - 2020,"Adorable and bubbly, Zhou Xiao is a favorite among her peers. A university literature student with a penchant for detective novels, she spends her days lost in the pages of her favorite mysteries, always eager to find…",27 episodes,8.1
717,#5147,Minato Shouji Coin Laundry,Japanese Drama - 2022,"After bailing out of a grinding office job in Tokyo, 29-year-old Minato Akira has returned to his hometown and taken over his grandfather's laundromat. The laundromat is a popular meeting point for people from all over…",12 episodes,7.6
718,#277,The First Responders,Korean Drama - 2022,"Follow the joint operations of a police force and a fire department, who together will tell a thrilling story. Fierce detective Jin Ho Gae is all about catching low-lifes. He solves cases with his excellent ability to…",12 episodes,8.7
719,#1054,Liar Game,Japanese Drama - 2007,"Kanzaki Nao is an honest college student who receives a hundred million yen one day, along with a card saying she has been chosen to take part in the ""Liar Game"". The aim of the game is to trick the other players out…",11 episodes,8.3
720,#2283,About Youth,Taiwanese Drama - 2022,"Ye Guang is an elite, popular high school student with good grades. Xu Qi Zhang, on the other hand, tends to blend into the background except for when he's performing on stage with his band. Smitten by the kindness that…",8 episodes,8.0
721,#4559,My Little Princess,Chinese Drama - 2016,"When you’re trying to win over your Prince Charming, can you find him in an unexpected place? Lin Xing Chen is an heiress of a wealthy family but faces pressure to marry well because of her illegitimate status. Her…",16 episodes,7.6
722,#7263,The Tasty Florida,Korean Drama - 2021,"Having just moved in, college freshman Seo Hae Won isn’t sure what to think of the guesthouse he now calls home. With Florida Banjeom, a popular Chinese restaurant, comfortably settled up on the roof, people from far…",8 episodes,7.3
723,#3849,Hello Mr. Gu,Chinese Drama - 2021,"A CEO with an aversion to crowds enters a contractual marriage with an impoverished heiress. With opposing personalities, they initially butt heads, only to become one another’s confidants over time. These imperfect…",30 episodes,7.7
724,#6711,Private Lives,Korean Drama - 2020,Swindlers come across a secret of the nation and try to reveal the secret. They must go up against a large company by using all of their skills. Lee Jung Hwan is a team leader for the major corporation. He looks like…,16 episodes,7.4
725,#1976,"Bread, Love and Dreams",Korean Drama - 2010,"Kim Tak Goo is the eldest son of Goo In Jong, the president of Geosung Enterprise, a legend in the baking industry. Although he is an extremely talented baker and seemed destined to succeed his father as president, Goo…",30 episodes,8.1
726,#6257,The Time We Were Not in Love,Korean Drama - 2015,"Choi Won is ""the perfect guy"" - good-looking, tall and fit with an amicable personality. Although he is very popular with women, he can't have a proper relationship because of his friend, Oh Ha Na. A romantic comedy…",16 episodes,7.4
727,#242,First Love: Hatsukoi,Japanese Drama - 2022,"In the late 90s, Yae and Harumichi met and fell in love. After graduating from high school, Yae went off to college in Tokyo, while Harumichi joined the Self-Defense forces as an aviation student, and like that they…",9 episodes,8.7
728,#6575,Switch Girl!!,Japanese Drama - 2011,"High school student, Tamiya Nika, appears to be a stylish and fashionable girl at school, but that's really a fake persona she uses when she's in public. At home, she “switches off” the facade and returns to her…",8 episodes,7.4
729,#8362,Ai Long Nhai,Thai Drama - 2022,"Ai studied abroad until, after being expelled for quarrelling, his father forces him to return to Thailand where he attends classes at the university where he teaches. There, Ai meets Chen Nhai, his new Harley Davidson-riding…",12 episodes,7.2
730,#8878,Nobleman Ryu's Wedding,Korean Drama - 2021,"On a warm spring day during the Joseon Dynasty, the wedding of Ryu Ho Seon and his beautiful bride, Hwa Jin, takes place. But come their wedding night, Ho Seon becomes suspicious of his beloved. And with good reason,…",8 episodes,7.1
731,#8632,My Gear and Your Gown,Thai Drama - 2020,"Dr. Pai is a medical student who previously led the school's academic club. With glasses on while growing up, he didn't have that confidence in his looks and has never believed in love. Itt is an engineering student…",12 episodes,7.1
732,#540,Nobody Knows,Korean Drama - 2020,"Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer who murdered her friend 19 years ago. She carries guilt and trauma over the event. She…",16 episodes,8.5
733,#10206,Bel Ami,Korean Drama - 2013,"Dokgo Ma Te is an ambitious man, who wants to make a lot of money using his beautiful appearance. He sets out to date ten of the most successful women in Korea. A strange woman then appears in front of Dokgo Ma Te. Her…",16 episodes,6.6
734,#1305,Ghost,Korean Drama - 2012,"Kim Woo Hyun is the only son of a high ranking police officer. Woo Hyun entered the police academy ranked first and graduated from the academy ranked first. As a detective, he then joins the cyber investigation department.…",20 episodes,8.2
735,#2302,Utsukushii Kare Season 2,Japanese Drama - 2023,"Having overcome the obstacles that stood between them in high school, Kazunari Hira and Sou Kiyoi are now dating and even living together. Hira is now in his fourth and final year in college while Kiyoi continues to…",4 episodes,8.0
736,#2277,Be My Favorite,Thai Drama - 2023,Botkawi has forever been in love with Praemai. His life is forever changed when a musical crystal ball he bought as an important gift for Praemai transports him back in time to the age of eighteen. Everything turns upside-down.…,12 episodes,8.0
737,#2409,First Romance,Chinese Drama - 2020,"Many years ago, Yan Ke and Xiong Yi Fan were schoolmates. But back in her younger days, she never discovered that she had a secret admirer in Yan Ke, who kept his crush a secret and loved her from afar. Now things are…",24 episodes,8.0
738,#2620,The Great Shaman Ga Doo Shim,Korean Drama - 2021,"Na Woo Soo is the very picture of high school perfection: He comes from a wealthy family, is outstandingly handsome, is every teacher’s favorite student at Seoul’s most prestigious high school, and unfailingly tops…",12 episodes,7.9
739,#10647,What the Duck,Thai Drama - 2018,"After Pop fails to acquire his dream job as a flight attendant, he decides to join the airline's catering service. This leaves his girlfriend Mo to work as a flight attendant alone, even though Mo and Pop had applied…",20 episodes,5.8
740,#1084,The Sound of Your Heart,Korean Drama - 2016,"""The Sound of Your Heart"" comically follows Jo Suk's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents. ~~ Adapted from the webtoon ""The Sound…",20 episodes,8.3
741,#324,Missing: The Other Side,Korean Drama - 2020,"A village holds the spirits of missing, deceased people. A search to find the missing bodies and discover the truth behind their disappearance occurs. Kim Wook is a smooth talker and a good-looking man. He commits fraud…",12 episodes,8.6
742,#929,A River Runs Through It,Chinese Drama - 2021,"Transferring to a new school right before the national college entrance exams was not part of Xia Xiao Ju’s plan. But when life demanded that she do exactly that, the only thing she could do was try to make the best…",36 episodes,8.3
743,#6710,One More Time,Korean Drama - 2016,"Yoo Tan is the leader and vocalist of an indie band called One More Time, a band he started with his childhood friends ten years ago. The indie band flourished for a while even boldly refusing to succumb to the establishment…",8 episodes,7.4
744,#4388,Connect,Korean Drama - 2022,A work that depicts the mysterious story of a man who has been deprived of a part of his body by organ hunters and becomes 'connected' with a person who has received an organ transplant. Ha Dong Soo is part of a new…,6 episodes,7.7
745,#2340,The Killing Vote,Korean Drama - 2023,"When heinous criminals avoid punishment from the law, all citizens over 18 years old receive a text message polling them on whether that person should receive the death penalty. If more than 50% respond in favor of the…",12 episodes,8.0
746,#888,Full House,Thai Drama - 2014,"Aom is a writer who got swindled out of her house during her trip to Korea. She finds out that her house was sold to Mike and in an attempt to get her possessions back, she enters a contract marriage with Mike for one…",20 episodes,8.3
747,#3671,Flower Crew: Joseon Marriage Agency,Korean Drama - 2019,"Growing up an ordinary country blacksmith, Lee Soo had no idea he would ever rule all of Joseon; but, at the age of twenty-three, that’s exactly what happened. Now as king, Lee Soo is finding it hard to adapt to the…",16 episodes,7.8
748,#10272,En of Love: TOSSARA,Thai Drama - 2020,"Gun Tossakan is a very bright and tall medical faculty freshman who has been in love with the popular third-year Engineering major and head hazer, Bar Sarawat, ever since he was in high school. Although at that time…",4 episodes,6.6
749,#301,One and Only,Chinese Drama - 2021,"Zhou Sheng Chen was raised by his brother, the Emperor, until the age of thirteen, when he set out to defend the border and establish himself as a loyal and accomplished general. Cui Shi Yi, the well-read daughter of…",24 episodes,8.6
750,#4048,Use for My Talent,Chinese Drama - 2021,"Because of his incomplete family, Gu Ren Qi has a closed up personality and mysophobia. Shi Shuang Jiao used to have a happy family, but later lost her mother in a car accident, and became a slovenly person. The two…",24 episodes,7.7
751,#397,My Journey to You,Chinese Drama - 2023,"The series tells the story of Yun Wei Shan, a spy longing for freedom, who infiltrates the Gong residence to complete a mission. In the eerie and treacherous Gong residence, she encounters love and friendship, embarks…",24 episodes,8.6
752,#2557,Everyone Loves Me,Chinese Drama - 2024,"Newly graduated classmates Gu Xun and Qian Ling are reunited when they both find work at a gaming company. The sweet and adorable Qian Ling has long held feelings for Gu Xun, so she is devastated when she confesses –…",24 episodes,7.9
753,#2248,Kiss Sixth Sense,Korean Drama - 2022,"Hong Ye Sool, the best account executive on Planning Team 1 at Zeu Ad is making her way up as a project manager. She has one secret: she can see the future when she kisses someone. One day, after Ye Sool's lips accidentally…",12 episodes,8.0
754,#2045,Shanai Marriage Honey,Japanese Drama - 2020,"Miura Manatsu is a young office worker who finds himself in a quandary: His mother is suffering from ill-health, and he believes that getting married will be a good way to bring some cheer to her – and help her recovery.…",7 episodes,8.0
755,#217,Story of Kunning Palace,Chinese Drama - 2023,Jiang Xue Ning's unrelenting desire to become empress eventually strains her bond with her childhood friend Yan Lin and leads to the arrest of the noble Official Zhang Zhe. Guilt and remorse begin to seep in when her…,38 episodes,8.7
756,#5081,Prosecutor Princess,Korean Drama - 2010,"Ma Hye Ri is a woman with an excellent memory and ability to focus, which allowed her to pass the bar exam with ease. Despite her talents, she is more interested in being fashionable and dislikes hard work so she is…",16 episodes,7.6
757,#652,Forever and Ever,Chinese Drama - 2021,"This story is about Shi Yi, a gentle pleasant and low-key but industry's top voice actress, who ran into the elegant returnee chemistry professor Zhou Sheng Chen at the airport one day. They gradually develop a mutual…",30 episodes,8.4
758,#629,Stay with Me,Chinese Drama - 2023,"Su Yu, a high school student leading a modest life with his father, encounters a significant upheaval when his mother remarries a prosperous man, bringing him face-to-face with his newfound step-brother, Wu Bi. Initially,…",24 episodes,8.4
759,#571,Kairos,Korean Drama - 2020,"Living a precarious life as a part-timer at a convenience store, Ae Ri strives to support her mother who is on a waiting list for a heart transplant. Unfortunately, her mother’s worsened physical condition leads her…",16 episodes,8.5
760,#35,The Untamed Special Edition,Chinese Special - 2019,A 20-episode cut of The Untamed made for better integration and comprehension of the series. This special edition focuses more on Lan Wangji/Lan Zhan and Wei Wuxian/Wei Ying.,20 episodes,9.1
761,#8444,Tinted with You,Korean Drama - 2021,"In Korea’s feudal past, deposed Crown Prince Lee Heon was forced into exile when his cruel older brother usurped the throne. His sibling plans to permanently secure his position, leaving Lee Heon fearing for his life…",8 episodes,7.2
762,#7319,Was It Love?,Korean Drama - 2020,"Noh Ae Jung is a single mother and works as a producer for a movie company. She has not had a boyfriend in the past 14 years, but 4 men appear in front of her. Oh Dae Oh is a mysterious best-selling novel writer. Ryu…",16 episodes,7.3
763,#9199,Y-Destiny,Thai Drama - 2021,"Y-Destiny is the story of 7 best friends: Sun, Mon, Tue, Puth, Thurs, Masuk and Sat, each of whom has different personalities according to their birthdays and fate leads them to meet their loved ones. Each story will…",15 episodes,7.0
764,#1242,Awaken,Korean Drama - 2020,"It’s been nearly thirty years since one small village was plagued by a mysterious string of events that shook it to its core. While the events were never fully understood, nor the mystery behind them solved, the stories…",16 episodes,8.2
765,#41822,Immortality,Chinese Drama - TBA,"Mo Ran is the young disciple of the most powerful cultivator in the world, Chu Wan Ning. Due to misunderstandings and general differences, the two have been at odds with each other. Chu Wan Ning finds himself helpless…",58 episodes,10.0
766,#442,The Starry Love,Chinese Drama - 2023,"The queen of the human tribe gave birth to twin girls. Respected by the entire tribe, the older sister Qing Kui, who is gentle and kind, is betrothed to the heavenly prince. The younger sister, Ye Tan, smart and cunning,…",40 episodes,8.5
767,#2012,Love Revolution,Korean Drama - 2020,Gong Ju Young is a 17-year-old high school student who thinks he has found love at school when he falls for Wang Ja Rim at first sight. But winning her heart won’t be easy. Wang Ja Rim has earned a reputation for being…,30 episodes,8.1
768,#7400,Prime Minister and I,Korean Drama - 2013,"Prime Minister Kwon Yool works well at his office, but he struggles to raise his three children alone. Nam Da Jung is a reporter full of enthusiasm at work, but she always ends up missing big scoops. When Nam Da Jung…",17 episodes,7.3
769,#2166,The Wolf,Chinese Drama - 2020,"A young boy brought up by wolves falls in love with a young Ma Zhai Xing, the daughter of a general and noble lord. Wrongly accused of killing the godbrother of the Emperor, the boy is hunted down, driven off a cliff,…",49 episodes,8.0
770,#8540,Panda and Hedgehog,Korean Drama - 2012,"Pan Da Yang is a bright young woman and the owner of a small neighborhood cake shop. She then becomes involved in a love triangle with Ko Seung Ji, a gifted pâtissier with a rough personality and troubled past, and…",16 episodes,7.1
771,#1496,Hyena,Korean Drama - 2020,"'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society. Lawyer Jung Geum Ja crosses the boundaries of law and lawlessness, justice and injustice, ethics and corruption. She is…",16 episodes,8.2
772,#1846,38 Task Force,Korean Drama - 2016,"A unique task force forms by blending law enforcement and criminals, targeting tax evaders. Con artists, skilled in fraud and deception, will aid in capturing these wealthy tax-dodgers who employ elaborate schemes to…",16 episodes,8.1
773,#1545,Serendipity's Embrace,Korean Drama - 2024,"In her final year of high school, Lee Hong Ju fell head over heels in love. But this first brush with love ended in heartbreak. Ever since, she has been deeply skeptical when it comes to everything love-related. A decade…",8 episodes,8.2
774,#2466,My Tooth Your Love,Taiwanese Drama - 2022,"Bai Lang is a bar-restaurant owner with an all-too-familiar phobia. Ever since he was a young child, he has dreaded having to go to the dentist. And although he has tried countless times to change dentist in search of…",12 episodes,8.0
775,#3147,A Poem a Day,Korean Drama - 2018,"The story of lives of people who work at the hospital like physical therapists, rehabilitation therapists, radiologists, nurses, medical trainees and more. Ye Jae Wook works as a physical therapist and also teaches in…",16 episodes,7.8
776,#10447,The Middleman's Love,Thai Drama - 2023,"Jade works as a graphic designer. He is always the one in the middle. Middle child. He has got average grades in school. People around him, either his siblings or his friends, are so good-looking that he has always been…",8 episodes,6.4
777,#2844,Single’s Inferno Season 1,Korean TV Show - 2021,"Stranded and ready to mingle, flirty singles search for love on a deserted island, they can only escape as couples for romantic date nights in paradise. 

(Source: Netflix)",8 episodes,7.9
778,#8226,Kiss Me Again,Thai Drama - 2018,"Taking place before the events of ""Kiss: The Series',' this series focuses on Sandee and Sanrak's older sisters. We also learn how Kao and Pete's relationship came to be as well as how June, Sandee, Thada, Pete, and…",14 episodes,7.2
779,#8957,Triad Princess,Taiwanese Drama - 2019,"Growing up in the shadows of her triad boss father, Angie craves an independent life of her own. Defying her father's wishes, she runs away from home and takes on a gig as an undercover bodyguard for a famous actor.…",6 episodes,7.1
780,#4109,Jugglers,Korean Drama - 2017,"In this office romantic-comedy drama, a secretary with a passive and obedient personality meets a boss who is completely uninterested in others and has no consideration for them.

(Source: KBS World)",16 episodes,7.7
781,#9397,K-POP - The Ultimate Audition,Korean Drama - 2012,"Ji Seung Yeon dreams of becoming a hip-hop legend and unexpected events set her on the path to achieve just that, although there is an added obstacle - she has to dress up as a boy in order to join a male idol group.…",14 episodes,7.0
782,#9584,Somebody,Korean Drama - 2022,"Sum is a developer for the social-connecting app ""Somebody."" Even though she has difficulty communicating with other people, she is friends with Mok Won and Ki Eun. Her friend Ki Eun works as a detective. A murder takes…",8 episodes,6.9
783,#3425,About Is Love,Chinese Drama - 2018,"This is a love story featuring Wei Qing, a high-ranking executive with a severe case of OCD that prevents him from interacting with women. An incident from his youth left a lasting impact on him, driving his search for…",30 episodes,7.8
784,#3255,Secret Royal Inspector & Joy,Korean Drama - 2021,A secret royal inspector uncovers corruption and then ensures its perpetrators face justice. He cannot reveal himself or his intentions. Ra Yi Eon wanted to open up a dumpling stall outside the capital. What he had not…,16 episodes,7.8
785,#565,One Dollar Lawyer,Korean Drama - 2022,"Cheon Ji Hun is a lawyer with unusual flair. His hair has a stylish perm. His retainer is only 1,000 won despite being one of the most skilled lawyers around. He argues against the most expensive lawyers and their rich…",12 episodes,8.5
786,#1205,Nodame Cantabile,Japanese Drama - 2006,"Megumi Noda or ""Nodame"" is a piano student at Momogaoka College of Music. An extremely talented pianist who wants to be a kindergarten teacher, she prefers playing by ear rather than reading the music score. She is messy…",11 episodes,8.2
787,#1714,Into the Ring,Korean Drama - 2020,"Seo Gong Myung is an efficient and hard-nosed elite civil servant who can multitask with ease and is titled the ‘Number One Handsome Man’ on the District People's Committee. However, he is a cold, rigid, and independent…",32 episodes,8.1
788,#2559,"Hello, Me!",Korean Drama - 2021,"Miserable and unsuccessful, Ban Ha Ni, a single 37-year-old woman who is generally servile and timid, thinks she's lost all her spark. Holding only a temporary position at her work, she’s fearful of being let go at…",16 episodes,7.9
789,#5855,Rugal,Korean Drama - 2020,"Kang Ki Beom is an elite police officer whose attempt to bring down Argos, a nationwide criminal organization, results in a group of masked assailants from Argos killing his beloved wife and cutting out both of his eyes.…",16 episodes,7.5
790,#1722,Gameboys,Filipino Drama - 2020,Teenage streamer Cairo is caught off guard when he receives a video call from a new online rival called Gavreel. He is even more surprised when the handsome stranger asks him out. Can two gamers make romance work during…,13 episodes,8.1
791,#2978,Wednesday 3:30 PM,Korean Drama - 2017,"If you still can’t get over your ex-boyfriend, how do you win his heart back? Seon Eun Woo was dumped by her boyfriend, Baek Seung Gyu. But she can’t get over her feelings for him and wants him back. Then she has…",15 episodes,7.9
792,#7255,Cutie Pie 2 You,Thai Special - 2023,Kuea has just graduated and Lian is excited to start planning their wedding but there is a dream that is holding Kuea back. Will this affect their relationship? Although Yi took some time to open up about his feelings…,4 episodes,7.3
793,#1381,Why Women Love,Chinese Drama - 2022,Zhao Jiang Yue is the somewhat tyrannical head of a tech firm. She is known for her no-nonsense approach to business - and her employees. The firm releases a dating app that promises to match users with a partner in…,24 episodes,8.2
794,#8641,ReminderS,Thai Drama - 2019,"The story revisits Noh and Phun who are now much older and in the university. Son and Pin are in a relationship and dealing with issues of jealousy, self-confidence, and trust. While Wish and Two are a couple starting…",3 episodes,7.1
795,#4050,Perfume,Korean Drama - 2019,"Seo Yi Do is a top designer. Although he appears to be the perfect man on the outside, his personality leaves something to be desired. On top of that, he has about 52 phobias and 35 allergies. Min Jae Hee is a middle-aged…",32 episodes,7.7
796,#5441,Top Management,Korean Drama - 2018,"Top Management is a web drama based on an internet novel. It tells the story of a new manager at an entertainment agency who uses her ability to see the future to succeed in the industry.

(Source: Soompi)",16 episodes,7.5
797,#650,The Sign,Thai Drama - 2023,"For as long as Tharn can remember, he's had premonitions about those around him, sensing both the good and the bad. Partners on a team of special investigators, when kind and cheerful Tharn met clever and charming Phaya,…",12 episodes,8.4
798,#8619,"Senpai, Danjite Koidewa!",Japanese Drama - 2022,"Yanase has worked as a 3D CG designer all across the world. Now back in Japan, Yanase is training a newbie by the name of Kaneda Yuki. There's only one issue: Kaneda is super unfriendly towards Yanase, leaving Yanase…",8 episodes,7.1
799,#8393,My Fair Lady,Korean Drama - 2009,"Of the high-rolling top 'hot celebrities' of the wealthy upper class in Korea's high society, Kang Hye Na is the one desired by the men, feared and hated by the women. Being the only successor to the largest conglomerate…",16 episodes,7.2
800,#2945,Fated to Love You,Taiwanese Drama - 2008,"Chen Xin Yi is an ordinary office lady who is termed a 'sticky note' girl because, just as sticky notes are useful for a while and then discarded, she finds herself frequently being used to run errands or to pick up…",24 episodes,7.9
801,#173,Story of Yanxi Palace,Chinese Drama - 2018,"In 18th century Beijing, during the 6th year of Qianlong Emperor's reign, Wei Ying Luo enters the Forbidden City as an embroiderer to investigate the truth behind her older sister's rape and murder. Believing that Imperial…",70 episodes,8.8
802,#794,Pachinko,Korean Drama - 2022,This sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive. (Source: AppleTV) ~~ Adapted from the…,8 episodes,8.4
803,#1829,Legend of Yun Xi,Chinese Drama - 2018,"The story follows a lady doctor called Han Yun Xi, who marries into the royal family and gets caught in the political machinations in the palace whilst she falls into a romance with her husband. The story takes place…",48 episodes,8.1
804,#4091,Jack o' Frost,Japanese Drama - 2023,"This follows the story of illustrator Okusawa Ritsu and salesman Ikegami Fumiya. They met at an old coffee shop and eventually fell in love and lived happily together. However, a misunderstanding gradually arises between…",6 episodes,7.7
805,#3298,I Need Romance Season 3,Korean Drama - 2014,"Shin Joo Yeon is a 33-year-old fashion marketing director at a home shopping channel company. She's developed a tough, prickly outer shell in order to succeed in the workplace and has almost given up on the idea of true…",16 episodes,7.8
806,#290,Jewel in the Palace,Korean Drama - 2003,"About 500 years ago during the time of Chosun Dynasty, Korea boasted a rigidly hierarchical and male dominated social structure. Based on a true story about a legendary girl, Jang Geum, who became the first woman to…",54 episodes,8.7
807,#259,Love Next Door,Korean Drama - 2024,"Choi Seung Hyo is the most noteworthy young architect in Korea, and he runs the architecture atelier ""In."" Not only is he nearly perfect as an architect, but he is also very attractive and has a great personality. Yet,…",16 episodes,8.7
808,#5309,Good Morning Call: Our Campus Days,Japanese Drama - 2017,"The new series will have a completely original story, and will focus on Yoshikawa and Uehara's college life.",10 episodes,7.6
809,#3068,River Where the Moon Rises,Korean Drama - 2021,"Born a princess and raised a soldier, Pyeong Gang is a woman with big dreams and limitless ambition. Determined to become the first Empress of Goguryeo, Pyeong Gang will stop at nothing to make her dream come true. Clever…",20 episodes,7.8
810,#9264,Golden Blood,Thai Drama - 2021,"The love story between a strict protector and a rebellious boss. Sky is a young master and the son of a mafia boss. Sun is the bodyguard who was sent by Sky's father to protect him. But in the end, they fall in love…",8 episodes,7.0
811,#1642,Search,Korean Drama - 2020,Yong Dong Jin is a conscript sergeant in the South Korean armed forces. He is also the military’s leading sniffer dog handler and is just one month away from receiving his long-awaited discharge. But with just weeks…,10 episodes,8.1
812,#1997,Girl From Nowhere Season 2,Thai Drama - 2021,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.

(Source: Netflix)",8 episodes,8.1
813,#3096,Love Tractor,Korean Drama - 2023,"Seon Yul, a temporarily relocated city man, meets Ye Chan, a rural man who adores the countryside. Seon Yul comes to the countryside to experience life knowing nothing about farming and Ye Chan appears before him. As…",8 episodes,7.8
814,#960,Wonderful World,Korean Drama - 2024,"Psychology professor and famous author Eun Soo Hyun's life unravels when her son falls victim to an injustice that goes unpunished by the legal system. Having lost faith in the world, she decides to take matters into…",14 episodes,8.3
815,#2819,Let's Eat,Korean Drama - 2013,"""Let's Eat"" depicts the daily life and romance of a single woman when a murder case occurs in her neighborhood. Lee Soo Kyung is a 33-year-old single woman. She divorced when she was in her 20s and now lives alone. She…",16 episodes,7.9
816,#1428,Jazz for Two,Korean Drama - 2024,"Han Tae Yi lost his will to live after the death of his older brother, who was a genius jazz pianist. To Tae Yi, transfer student Yoon Se Heon is truly an uninvited guest. Se Heon has been playing jazz that reminds Tae…",8 episodes,8.2
817,#2064,Witch's Court,Korean Drama - 2017,"Ma Yi Deum, a materialistic female prosecutor who does not hesitate to use personal attacks, fabricate evidence, and incite perjury in order to win her case is assigned to a special task force for sex crimes. Yeo Jin…",16 episodes,8.0
818,#2846,3 Will Be Free,Thai Drama - 2019,"Neo is a stripper who is running away from the loan shark Thana and his gang after having an affair with Thana's wife, Vanika. One day, the criminals find him in the bar where he works. In attempting to escape, he ends…",10 episodes,7.9
819,#5462,Star and Sky: Sky in Your Heart,Thai Drama - 2022,"Forced up to the mountains with his friends Mesa and JJ after driving while impaired, Dr. Kuafah meets volunteer teacher Prince. The two despise one another from the moment they first meet. Despite their differences,…",8 episodes,7.5
820,#738,"Work Later, Drink Now",Korean Drama - 2021,"Ahn So Hee, Han Ji Yeon, and Kang Ji Gu enjoy hanging out after work and drinking together. The three women are single and in their 30s. As for their jobs, So Hee works as a broadcasting writer, Ji Yeon as a yoga instructor,…",12 episodes,8.4
