Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#1501,School 2021,Korean Drama - 2021,16 episodes,"""School 2021"" is the story of students attending a specialized high school and seeking their ambitions, rather than going off to college. It will delve into how these students learn about love, friendship, true passions,…",7.9
#1502,Candle in the Tomb: The Lost Caverns,Chinese Drama - 2020,18 episodes,"Hu Ba Yi, Shirley Yang and Wang Pang Zi explore a mysterious tomb in the Shaanxi region. Shirley Yang travels to the Longling Maze Grottos to investigate unusual patterns on fossil fragments. On the way, she crosses…",7.8
#1503,Kiss Scene in Yeonnamdong,Korean Drama - 2019,12 episodes,"The concept of ""Kiss Scene in Yeonnam-dong"" is 'who kissed her that night?' and it's about a young woman who has been single all her life looking for the most handsome kisser. She has been single all her life, but she's…",7.9
#1504,Futekisetsu ni mo Hodo ga Aru!,Japanese Drama - 2024,10 episodes,"Ichiro is a PE teacher in 1986 feared by his students for a ""tough love"" approach, harsh tongue and frequently “inappropriate” behavior. He’s also a dad trying to raise a rebellious daughter after having lost his…",7.9
#1505,Goodbye to Goodbye,Korean Drama - 2018,40 episodes,"Young Hee is a woman who separated from her husband Sang Jin because he cheated on her. One day, Jung Hyo, a pregnant woman whose boyfriend ask her to abort the child, starts living with Young Hee, her boyfriend's mother.…",7.9
#1506,Love of Thousand Years,Chinese Drama - 2020,30 episodes,"Fu Jiu Yun is an immortal deity who falls in love with a mortal woman with whom he longs to have a relationship. Plenty powerful yet unable to win her heart, he finds himself following her through a thousand years and…",7.9
#1507,Karamazov no Kyodai,Japanese Drama - 2013,11 episodes,"‘Karamazov no Kyodai’ is a psychological suspense drama based on Fyodor Dostoyevsky’s last novel ‘The Brothers Karamazov’. Set in present-day Japan, three brothers are being suspected of having killed their…",7.9
#1508,Iribito,Japanese Drama - 2021,5 episodes,"Naho is the deputy curator of the art gallery established by her grandfather, an avid art collector. Naho's husband is the managing director at a different art gallery in Ginza which his family has run for several generations.…",7.8
#1509,Bara no nai Hanaya,Japanese Drama - 2008,11 episodes,"Shiomi Eiji is a florist. He is a single man with a young daughter named Shizuku. One day, he invites a blind woman seeking shelter under his shop awning to come in out of the rain. A surprising tale gradually unfolds…",7.9
#1510,The Legend of Zu Season 2,Chinese Drama - 2018,48 episodes,"A story about a mysterious young heroine who embarks on a search for the big hero who once saved her life. Together with her brother, she comes under the tutelage of Zu Mountain, thus embarking on a journey to help their…",7.8
#1511,Haha ni Naru,Japanese Drama - 2017,10 episodes,"In the spring, when Kashiwazaki Yui and her 3 years old son were coming back home from kindergarten, she let go of her son's hand for a moment and then he was gone. 9 years later, her son appears in front of her again.…",7.8
#1512,Nihon Chinbotsu: Kibo no Hito,Japanese Drama - 2021,10 episodes,"In 2023 in Tokyo, Prime Minister Higashiyama Eiichi pushes for COMS at the World Environment Conference. COMS is a method to liquify pollutants and store it in the crack of the sea floor. Prime Minister Higashiyama gathers…",7.9
#1513,My Lovely Sam Soon,Korean Drama - 2005,16 episodes,"Kim Sam Soon is a baker who has a talent for making pastries and cakes. On Christmas Eve, she catches her boyfriend, Min Hyun Woo, cheating on her and breaks up. On that same night, she meets Hyun Jin Hun, the owner…",7.9
#1514,My Man Is Cupid,Korean Drama - 2023,16 episodes,"Cheon Sang Hyuk is a charismatic fairy who easily makes women fall in love with him. 500 years ago, his wings were burned. To restore his wings, he went through 27 metamorphoses. On his 28th time, he gets involved with…",7.9
#1515,Iryu Team Medical Dragon  4,Japanese Drama - 2014,11 episodes,Big corporations and trading companies are buying out hospitals overseas or are building new hospitals to get into foreign countries in an attempt to earn foreign money through healthcare for wealthy individuals. On…,7.8
#1516,Mrs. Cop,Korean Drama - 2015,18 episodes,"Choi Yeong Jin is a female detective squad chief. She also raises her daughter Ha Eun. At work, she deals with brutal crimes with her senior detective Park Jong Ho and squad members Min Do Yeong, Han Jin Woo, Jo Jae…",7.9
#1517,"Sekai no Chuushin de, Ai wo Sakebu",Japanese Drama - 2004,11 episodes,"""I thought I might be using a lifetime's happiness in a moment. I was that happy, and she was that beautiful."" A young boy stands on the red earth of Australia under its blue sky. It is 17-year-old Sakutaro Matsumoto.…",7.9
#1518,The Emperor: Owner of the Mask,Korean Drama - 2017,40 episodes,"The story of a crown prince named Lee Sun who fights the Pyeonsuhwe society that holds absolute power over the kingdom and also controls the water supply by privatizing it. The drama involves romance, action and court…",7.9
#1519,Just One Bite Season 2,Korean Drama - 2019,10 episodes,"The sweet and bitter love stories of three women.

(Source: Playlist Global)",7.9
#1520,Destined to Meet You,Chinese Drama - 2022,20 episodes,"Jin Rong Rong, the resolute general manager of Jinchao Group, met Gu Cong Bei, a singer of a bar, on the way to secretly inspect the operation of the business district. After a drunken night, Jin Rong Rong learned that…",7.9
#1521,Kakegurui Twin,Japanese Drama - 2021,8 episodes,"It's a year before Yumeko transferred to Hyakkaou Academy. Saotome Meari, a young girl who was born into a very ordinary family, passed her transfer examinations, and has started to attend Hyakkaou. However, the school…",7.8
#1522,Let's Eat,Korean Drama - 2013,16 episodes,"""Let's Eat"" depicts the daily life and romance of a single woman when a murder case occurs in her neighborhood. Lee Soo Kyung is a 33-year-old single woman. She divorced when she was in her 20s and now lives alone. She…",7.9
#1523,Sapai Import,Thai Drama - 2020,17 episodes,"Lisa is a rich, spoiled girl who returned from her studies in England to find her parents were in debt. She had to work to repay that debt. And Don's mother helped her. Don is the grandson of a very famous farm owner.…",7.9
#1524,Bloody Romance,Chinese Drama - 2018,36 episodes,"In the turbulent interregnum following the collapse of the Tang dynasty, a young daughter of a herbalist is tricked and sold to a brothel. After a harrowing escape from death, she finds herself in a city of female assassins.…",7.9
#1525,Seirei no Moribito Season 2,Japanese Drama - 2017,9 episodes,"Four years after her journey with Chagum ended, Balsa became an outlaw. Concealing herself in the kingdom of Rota to the west of the New Yogo Empire, she continues to be a bodyguard. One day, Balsa saves a young girl…",7.9
#1526,Piang Chai Khon Nee Mai Chai Poo Wised,Thai Drama - 2016,15 episodes,"Sattawat is a doctor whose mother has a gambling addiction, and Anusaniya's family owns a wealthy company. Sattawat's mother owes a lot of money to Anusaniya's company and in order to erase the debt, Sattawat's mother…",7.9
#1527,Reborn,Chinese Drama - 2020,28 episodes,Qin Chi is a Deputy Chief Police Officer who awakens from a coma with amnesia only to learn that he apparently led a team of his close friends on a stake-out that ended up with everyone dead. With police suspecting he…,7.9
#1528,Once Upon a Small Town,Korean Drama - 2022,12 episodes,"Han Ji Yool works as a veterinarian in Seoul. One day, he receives a phone call from his grandfather. His grandfather doesn’t mention specifics, but his voice sounds serious. Han Ji Yool decides to go to Heedong Village,…",7.9
#1529,My Dear Guardian,Chinese Drama - 2021,40 episodes,A story that follows a warm and gentle military medic and the 'ice mountain' military officer as they fulfill their duties and also find love. Was it being rescued from the bandits or was it from constantly seeing each…,7.9
#1530,My Lovely Bodyguard,Thai Drama - 2022,12 episodes,"Saraphi, a jobless stuntwoman, accidentally becomes the bodyguard of Thewan and his nephew due to her incredible martial arts skills. As Saraphi and Thewan learn to work together to protect his nephew from those out…",7.9
#1531,Age of Rebellion,Taiwanese Drama - 2018,15 episodes,"A group of wayward teens face turbulent school and home lives, navigating their way through a world full of bullying, drugs, gangs, and prostitution. Gao Hao Sheng, is a new teacher with a dark past, becoming friend…",7.8
#1532,Witch's Romance,Korean Drama - 2014,16 episodes,Ban Ji Yeon is a single 39-year-old woman. She works as a reporter and is very enthusiastic about her work. So much so that she is often called a “witch” at work. She doesn't believe in true love because of her past…,7.9
#1533,Laws of Attraction,Thai Drama - 2023,8 episodes,"Charn is a clever and ruthless lawyer inclined to accept high-paying and high-profile cases that will bring him renown. On one occasion, he's taken off a case as it's gaining widespread interest. Having lost face and…",7.9
#1534,Mr Honesty,Chinese Drama - 2020,31 episodes,"Xu Yi Ren loses both her relationship and career in one night. Her close friend, Xia Di, recommends her to an architectural firm as the assistant of the CEO. However, during the interview, she finds out that the CEO,…",7.9
#1535,BOSS Season 2,Japanese Drama - 2011,11 episodes,"Starting from the end of season 1, Eriko Osawa's cell phone rings at Narita International Airport as she is about to leave the country. She will then return to the special detective unit to take on a case that will shake…",7.9
#1536,Candle in the Tomb: The Wrath of Time,Chinese Drama - 2019,21 episodes,"Tomb raider and head of the Xieling Clan, Chen Yu Lou joins hands with warlord Luo Lao Wai and heads to Xiangxi to explore tombs of the Yuan dynasty. On his journey, he meets Zhe Gu Shao who is not interested in any…",7.9
#1537,Dr. Brain,Korean Drama - 2021,6 episodes,An emotional journey that follows a brain scientist who is obsessive about figuring out new technologies to access the consciousness and memories of the brain. His life goes sideways when his family falls victim to a…,7.9
#1538,Fall for You,Korean Drama - 2022,20 episodes,"A high-teen fantasy romance drama in which national idol Yoo Je Bi, who suffers from malicious comments, falls into romance novels and realizes the meaning of a new life. (Source: Korean = Naver || Translation = MyDramaList)",7.9
#1539,I Don't Want to Be Brothers With You,Chinese Drama - 2022,30 episodes,"Gao Yang does not get along with his father, Gao Bin, since he was young, despite being brought up solely by him. He is a rebellious kid, often skipping school and testing the limits of his teachers. Although the daughter…",7.9
#1540,Kindaichi Shonen no Jikenbo 5,Japanese Drama - 2022,10 episodes,Kindaichi Hajime is a high school student and a private detective with an IQ of 180. He solves murder cases that are riddled with difficult clues. Kindaichi Hajime works with his childhood friend Nanase Miyuki and Kenmochi…,7.9
#1541,Kakegurui Season 2,Japanese Drama - 2019,5 episodes,"Hyakkaou Private Academy is a prestigious institution for the privileged, which was first established 122 years ago. The students there are ranked by their gambling winnings. The winners receive everything including…",7.9
#1542,The Three Musketeers,Korean Drama - 2014,12 episodes,"Set in the Joseon Dynasty period (during the confusion of justification and the period of espionage and transition from ming to ping), when the public desire for social reform was at a high. The three-arc historical…",7.9
#1543,3 Will Be Free,Thai Drama - 2019,10 episodes,"Neo is a stripper who is running away from the loan shark Thana and his gang after having an affair with Thana's wife, Vanika. One day, the criminals find him in the bar where he works. In attempting to escape, he ends…",7.9
#1544,Hope or Dope 2,Korean Drama - 2022,8 episodes,"Having been used as a drug mule by her parents for ages, eighteen-year-old Kyung Da Jung might have been stuck in her old life forever, had not a series of unfortunate events during one of her deliveries forced her to…",7.9
#1545,Hello Stranger,Filipino Drama - 2020,8 episodes,What if you meet someone who changes your life forever? This is a story about two boys who first met online as strangers who didn't seem to like each other very much but were again brought together by circumstances that…,7.9
#1546,Love’s Rebellion,Chinese Drama - 2024,36 episodes,It tells the story of a young woman named Nan Yan who enters a new world of immortals to save her mother who sends her and the enigmatic monarch Shao Cang; whose new identity of Ji Yang must be maintained to protect…,7.9
#1547,35 sai no Koukousei,Japanese Drama - 2013,11 episodes,"The drama will center around how a 35-year-old student changes the school and influences her fellow classmates’ lives while dealing with the dark reality of today’s high schools, including bullying and skipping school.",7.9
#1548,Chef: Mitsuboshi no Kyushoku,Japanese Drama - 2016,10 episodes,"Hoshino Mitsuko is the talented three-star chef of famous French restaurant, La Cuisine de La reine, in Ginza, Tokyo. She has drawn attention not just from Japan but also the world for the new recipes she continuously…",7.8
#1549,Let's Eat Season 2,Korean Drama - 2015,18 episodes,"The second season follows Goon Dae Yeong's character as he moves to a new building and reunites with his grade school classmate Baek Soo Ji. She’s been living alone for ten years, which means she’ll have plenty of…",7.9
#1550,Burning Ice,Chinese Drama - 2017,12 episodes,"To protect the woman he loves, a white-collar worker unintentionally becomes involved in a murder case and becomes a suspect. In the blink of an eye, his quiet and boring life gets completely shaken up as he suddenly…",7.8
#1551,Today's Webtoon,Korean Drama - 2022,16 episodes,"Once a member of the National Judo Team, On Ma Eum’s entire life revolved around the sport. But when a tough match leaves her with a torn ankle ligament, she’s forced to watch as all of her dreams of continuing in…",7.9
#1552,All About My Mom,Korean Drama - 2015,54 episodes,"Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits…",7.9
#1553,Hwang Jin Yi,Korean Drama - 2006,24 episodes,"This story is about the life of Joseon dancer, musician and poet, Hwang Jin Yi, who seeks perfection in her art relentlessly and the hardship facing women due to their lowly social status.",7.9
#1554,She and Her Perfect Husband,Chinese Drama - 2022,40 episodes,"Lawyer Qin Shi is focused on her career but is rushed into the marriage by her parents. The top law firm ""Cheng and Hui"" is recruiting lawyers specializing in family affairs, and one of the requirements is to be married.…",7.9
#1555,Line Walker: The Prelude,Hong Kong Drama - 2017,30 episodes,"In 2010, Cheuk Hoi secretly travels to Bangkok to conduct a drug operation with his undercover agents in Thailand. As they finish their mission and are about to leave Thailand, an explosion causes all of Cheuk Hoi's…",7.8
#1556,Cheo Yong Season 2,Korean Drama - 2015,10 episodes,Detective Cheo Yong uses his abilities to interact with spirits to solve cases.,7.9
#1557,Beautiful Rain,Japanese Drama - 2012,12 episodes,A young daughter (Mana Ashida) supports her father (Etsushi Toyokawa) who is diagnosed with Alzheimer's disease.,7.8
#1558,The Taoism Grandmaster,Chinese Drama - 2018,46 episodes,"It has been foretold over three thousand years ago that the apocalypse is impending and that one Taoist grandmaster will emerge to save the world. To give the people a fighting chance, the immortals have gathered a team…",7.8
#1559,Arang and the Magistrate,Korean Drama - 2012,20 episodes,"It tells the story of a cynical and not-so-friendly government official named Eun Oh, who wanders the whole nation to look for his mother, who disappeared because of his mistake. Eun Oh has the ability to see ghosts,…",7.9
#1560,Yong Jiu Grocery Store,Taiwanese Drama - 2019,10 episodes,"The main lead, Jun Long, has left home to study in Taipei, only to return to be the keeper of the family grocery store after his grandfather has gotten ill. However, he is not just guarding the store, but also the rich…",7.9
#1561,"Ready, Set, Love",Thai Drama - 2024,6 episodes,"In a parallel universe, female newborns vastly outnumber their male counterparts due to an inexplicable pandemic. As men become rarer, they're hailed as ""national treasures,"" and women must win their affections in a…",7.9
#1562,Ataru,Japanese Drama - 2012,11 episodes,"Ataru is a man with autism, who is also a savant, possessing special abilities in specific areas. This mystery drama will tell the story of Ataru, who solves cases using his extraordinary memory and deductive skills.",7.9
#1563,Scripting Your Destiny,Korean Drama - 2021,10 episodes,"Shin Ho Yoon, a powerful god responsible for shaping human destinies, faces an unusual task of writing a romantic fate. Intrigued by a future screenplay penned by drama writer Go Chae Kyung, he decides to borrow ideas…",7.9
#1564,Lovestruck in the City,Korean Drama - 2020,17 episodes,"""Lovestruck in the City"" is a realistic portrayal of young people who pursue romance and happiness while struggling to get by in a busy, competitive urban environment. Park Jae Won is an honest man, a passionate architect…",7.9
#1565,Eternal Brotherhood,Chinese Drama - 2024,24 episodes,"Set in the turbulent land of Zichuan, where the clans of Zichuan and Sairong are engaged in intense warfare. Zichuan Xiu, stationed at the border, returns to the capital with remarkable military achievements, bringing…",7.9
#1566,Rosy Business Season 2: No Regrets,Hong Kong Drama - 2010,32 episodes,"Guangzhou is in a state of political turmoil in the 1930s. Gangsters are on a rampage and opium trading becomes rampant. As they watch the illicit profits from opium trading escalate, the government forms the Anti-Smoking…",7.8
#1567,Police University,Korean Drama - 2021,16 episodes,Hacking was the only way out of Kang Sun Ho’s miserable life ever since his parents passed away in an accident when he was just ten. He eventually puts his genius hacking skills into practice in an attempt to steal…,7.9
#1568,Light Chaser Rescue,Chinese Drama - 2022,40 episodes,A devastating earthquake has occurred in Xichuan. Lawyer Luo Ben has gone to the disaster-stricken area to look for his younger and mute sister Luo Yuan. It's there that he comes into contact with the Light Chaser Rescue…,7.9
#1569,Big White Duel,Hong Kong Drama - 2019,25 episodes,"Big White Duel focuses on the politics behind the healthcare industry in Hong Kong. It centers on Dr. Yeung, the deputy director of Ming Shing North Hospital. He proposes a plan to completely change the hospital’s…",7.8
#1570,Miss Independent Ji Eun Season 2,Korean Drama - 2019,16 episodes,"Season 2 brings Lee Ji Eun's university life, also the worries and love stories of college students. Ji Eun has to make important decisions about her feelings, her dreams and, finally, her life.",7.9
#1571,Big Issue,Korean Drama - 2019,32 episodes,"Set within the frenzy world of the paparazzi media. Due to a photograph, Han Seok Joo loses everything, including his job as a photographer for a top newspaper and his family. Ji Soo Hyun is the notorious chief editor…",7.9
#1572,I Will Find You a Better Home,Chinese Drama - 2020,53 episodes,"Fang Si Jin is a rising star at her real estate company headquarters. Her mentor dispatches her to the Jinyi branch in Shanghai, which has been suffering from declining sales. Si Jin joins the store as a double-manager…",7.8
#1573,Gap Dong,Korean Drama - 2014,20 episodes,"Moo Yeom is a detective. 20 years ago, he was a Buddhist monk, but he got into trouble with a man named Gap Dong. To cut ties with him and cut off whatever karma would arise from his involvement with Gap Dong, Moo Yeom…",7.9
#1574,"Hello, My Youth",Chinese Drama - 2021,20 episodes,Follows several first-year students’ lives as they experience both humorous and serious situations.,7.9
#1575,Doki no Sakura,Japanese Drama - 2019,10 episodes,"Sakura grew up on a remote island. She has a dream, which is to build a bridge on her island. In the spring of 2009, Sakura joins a big construction company. She does not hesitate to tell her colleagues about her dream…",7.8
#1576,It's Beautiful Now,Korean Drama - 2022,50 episodes,"The Lee brothers Yoon Jae, Hyun Jae, and Soo Jae are not interested in dating or getting married. Their indifference towards marriage is cause for concern among family members. They offer the enticement of an apartment…",7.9
#1577,W.H.Y.,Korean Drama - 2018,10 episodes,"Yeon Woo and Joo Hyun met for the first time when they were 17 years old. After 4 years of friendship, the guy invited the girl to date. Then came the 100th day of the relationship; everything was fine. They promised…",7.9
#1578,Gameboys Season 2,Filipino Drama - 2022,8 episodes,"Set in the midst of the global pandemic, Cairo and Gavreel, who had previously been communicating online, decide to try living together for a brief period of time. However, while Gav is aggressive and straightforward…",7.9
#1579,A Journey to Meet Love,Chinese Drama - 2019,52 episodes,"Li Xin Yue is a white-collar worker under the watchful eye of the police after she goes out of her way to buy Dear, a painting by a renowned artist. Undercover cop, Jin Xiao Tian, is ordered to shadow her every move.…",7.9
#1580,Doctor Stranger,Korean Drama - 2014,20 episodes,"As a child, Park Hoon and his father were kidnapped by North Korea. In North Korea, he was trained to become a doctor by his father who was already a doctor. Park Hoon became a genius-like heart surgeon. He then flees…",7.9
#1581,Chinese Paladin,Chinese Drama - 2005,34 episodes,"The story takes place in a fantasy medieval China. Li Xiao Yao, a ""Stinky Punk"", journeys to Dream Island to find a cure for his sick aunt. There he meets and marries the love of his life, Ling'er. On his way back home…",7.9
#1582,Kiss Goblin,Korean Drama - 2020,12 episodes,"Ban Sook is a 160-year-old goblin who wants nothing more than to be human. But in order to do so, his mentor, the Goblin Queen, tells him that he must take human form and kiss humans 10 times. As he is strikingly handsome…",7.9
#1583,Horimiya,Japanese Drama - 2021,7 episodes,"Although admired at school for her amiability and academic prowess, high school student Kyouko Hori has been hiding another side of her. With her parents often away from home due to work, Hori has to look after her younger…",7.9
#1584,Girl Next Room: Richy Rich,Thai Drama - 2020,5 episodes,"Duchess, also known as Daeng Lek, is a newly rich university student and is given to ostentatiousness. She seeks approval from the exclusive parts of society from which she was barred when she was poor. She happens to…",7.9
#1585,House of Ninjas,Japanese Drama - 2024,8 episodes,"Set in modern-day Japan, “House of Ninjas” tells the story of the Tawara family, the last ninja clan. It had abandoned its roots after an incident in the past, but now the family must take on the greatest crisis…",7.9
#1586,Oh My General,Chinese Drama - 2017,60 episodes,"During the Song Dynasty, Ye Zhao cross dresses to become a general of outstanding ability, receiving a top rank of general. The Empress Dowager constantly worries about Ye Zhao holding too much power and took the opportunity…",7.9
#1587,Rosy Business,Hong Kong Drama - 2009,25 episodes,"An incisive portrait of a businesswoman torn between duty and desire. Hong Po Kei's engagement with Wuxi rice baron Tseung Kiu broke off many years ago when a natural disaster hit the country. Later, when the country…",7.8
#1588,Kamen Rider Blade,Japanese Drama - 2004,49 episodes,"Ten thousand years ago, a massive battle known as the Battle Royal was fought by fifty-two Undead, each representing a species fighting for dominance over all others. The winner was the Human Undead, known as Category…",7.8
#1589,Tokyo Joshi Zukan,Japanese Drama - 2016,11 episodes,"The story follows Aya Saito from last year in high school to her 40s, as she moves from Akita, a small rural town in the Japanese countryside to the glittering metropolis of Tokyo. Aya has to adjust to the different…",7.8
#1590,The Return of the Condor Heroes,Hong Kong Drama - 1983,50 episodes,"""The Return of the Condor Heroes"" is part II of Jin Yong's Condor Trilogy. It tells of the taboo love between student and teacher and questions the strength of love over 16 years. Yang Guo, the orphan son of Han-traitor…",7.9
#1591,Dr. Cutie,Chinese Drama - 2020,28 episodes,"Shen Zhao Er is the daughter of the palace-appointed doctor and grew up with Ji Heng, the son of an official of the king. In an incident of poisoning concerning a royal consort, Zhao Er's father, Doctor Shen, is framed…",7.9
#1592,Atsu Hime,Japanese Drama - 2008,50 episodes,"The 47th NHK Taiga Drama is a life story of Atsuhime who was born in Kagoshima Prefecture, then called Satsuma, and became the wife of Tokugawa Iesada, the 13th shogun of the Tokugawa shogunate. She accedes to the highest…",7.8
#1593,Decoded,Chinese Drama - 2016,44 episodes,"Can anyone crack the code? When an unknown Country X sends the dangerous spy known as “The Awakener” to infiltrate China using an advanced coded communication system known as “Purple Secret,” the government can’t…",7.8
#1594,My Golden Life,Korean Drama - 2017,52 episodes,"25 years ago, the Haesung Group lost their granddaughter Choi Eun Seok. The girl was found and raised by Seo Tae Soo as one of his twin daughters, Seo Ji Ahn and Seo Ji Soo, They grew up rich, but their father was bankrupt,…",7.9
#1595,Let Me Be Your Knight,Korean Drama - 2021,12 episodes,"Yoon Tae In is the leader of the idol group, Luna. He suffers from sleepwalking. To cure his ailment secretly, a fake doctor begins to live with him. In Yoon Joo works as a tour guide. Her dream is to one day buy her…",7.9
#1596,Take My Brother Away,Chinese Drama - 2018,30 episodes,"What's your brother like? To Shi Miao, her brother Shi Fen is someone who would tease her and make her explode 100 times a day; not a peaceful day as the two are fighting every single minute. However, when troubles come,…",7.9
#1597,The Gentlemen of Wolgyesu Tailor Shop,Korean Drama - 2016,54 episodes,"Laurel Tree Tailor Shop is family-owned and has been in business for almost a century. Its master tailor, Lee Man Sool, has perfected the dying art of creating a made-to-measure suit. Man Sool departs, only leaving a…",7.9
#1598,Ice World,Japanese Drama - 1999,11 episodes,"Investigations on a mysterious woman Toko started when Sonoe, a teacher and Toko's fellow faculty member, was found dead as a result of what seemed to be an unfortunate accident. Eiki, an insurance investigator, and…",7.8
#1599,Saikou no Rikon,Japanese Drama - 2013,11 episodes,A romantic home comedy about 30-year-olds with an immature view on marriage that focuses on themes related to married couples and families in general. The protagonists of ‘Saikou no Rikon’ are two couples – Mitsuo…,7.9
#1600,Kamen Rider Zero-One,Japanese Drama - 2019,45 episodes,"Japan has entered a new era. Hiden Intelligence, the leading company in the field of artificial intelligence (AI) has developed and began to test the reality of Human Gear, AIs in human form. Human Gear is designed so…",7.9
#1601,Stairway to Heaven,Korean Drama - 2003,20 episodes,"The relationship of childhood sweethearts Cha Song Joo and Hang Jung Suh becomes complicated when Jung Suh's father remarries. Along with a new stepmother, Jung Suh also has a new introverted stepbrother, Han Tae Hwa…",7.9
#1602,The Wind Blows,Korean Drama - 2019,16 episodes,“The Wind Blows” is a story about a man who decided to divorce his beloved wife after suffering from Alzheimer’s disease and a woman who decided to divorce her husband to have children. The plot unfolds six years…,7.9
#1603,Moebius: The Veil,Korean Drama - 2021,2 episodes,"The story of when Agent Seo Soo Yeon, who returns from China, gets involved in a dangerous deal with Agent Jang Chun Woo.

(Source: Korean = Naver || Translated= MyDramaList)",7.8
#1604,Chojin Sentai Jetman,Japanese Drama - 1991,51 episodes,"This series takes place in 199X on the Earth Ship, the command center of an international defence agency called Sky Force, the guardians of peace on Earth. In the ship, scientists have developed ""Birdonic Waves"", a newly…",7.8
#1605,Dreaming of a Freaking Fairytale,Korean Drama - 2024,10 episodes,Moon Cha Min is the son of a wealthy chaebol family and also the CEO of a social club. He doesn't care at all for women who dream of having a fairy tale romance like Cinderella. He is also an arrogant person. Cha Min…,7.8
#1606,Love Affairs in the Afternoon,Korean Drama - 2019,16 episodes,"Son Ji Eun is a housewife who works part-time at a mart. She is quiet and sincere, even as she feels trapped in her unhappy life and lonely marriage. One day, she meets biology teacher Yoon Jung Woo and her heart starts…",7.9
#1607,Please Don't Spoil Me Season 2,Chinese Drama - 2022,21 episodes,"In this continuation, Qin Yu's plan to implement the New Deal to improve people's livelihood and enhance national strength is facing setbacks and in an effort to return to the real world, Yan Yiyi is still single-mindedly…",7.8
#1608,The Promise,Filipino Drama - 2015,190 episodes,"Angelo Buenavista, the rebellious son of a powerful politician, falls in love with Yna Macaspac, a simple but beautiful adopted daughter of a retired policeman. Unbeknownst to them, their love story is destined to repeat…",7.8
#1609,"Itsuka, Nemuri ni Tsuku Hi",Japanese Drama - 2019,6 episodes,"A second year high school student, Morino Hotaru has spent the last few years crushing on her classmate, Otaka Ren. Unable to find the courage to confess her feelings, Hotaru has become something of an expert in unrequited…",7.9
#1610,Catch Up My Prince,Chinese Drama - 2023,24 episodes,Interning doctor Lu Ran Ran and game designer Wang Chen Yi accidentally entered the virtual reality game he designed for his sister. Together they experienced the strange unfolding of events of the imaginative and mysterious…,7.9
#1611,The Destiny of White Snake,Chinese Drama - 2018,61 episodes,"Master of the medicinal valley and disciple of the Jade Emperor, Zi Xuan, was well on his way to becoming a deity when he met Bai Yao Yao. A little white snake spirit roaming the mortal realm as a human, Yao Yao had…",7.9
#1612,High Kick through the Roof!,Korean Drama - 2009,126 episodes,"Shin Se Kyung and Shin Shin Ae are a pair of sisters who came to work as maids in the Foodstuff company President Lee Sun Jae's house after their debt-ridden father, Shin Dal Ho, runs away, leaving them to fend for themselves.…",7.9
#1613,Devilish Joy,Korean Drama - 2018,16 episodes,"Would you choose to love someone you could never remember? Gong Ma Sung grew up having a difficult life and experiencing hardships, yet still making joy from it. He is the successor to the Sunwoo company and excels in…",7.9
#1614,Ishi no Mayu,Japanese Drama - 2015,5 episodes,Toko Kisaragi is a new female detective who was transferred to 11 Section of the 1st Investigation Division at the Tokyo Metropolitan Police Department as she wishes. Her father was a former detective of the same police…,7.8
#1615,My Lovely Boxer,Korean Drama - 2023,12 episodes,"Kim Tae Young is a cold-blooded sports agent. He draws talented players into the sports field and makes as much money from them in a short period of time, before they burn out. One of his clients is Kim Hee Won. He is…",7.9
#1616,CHANGE,Japanese Drama - 2008,10 episodes,"Asakura Keita, 35, is an all-around nice guy who is a primary school teacher from rural Nagano Prefecture. His recently deceased father had been a Diet (House of Representatives) member from Kyushu and Keita finds himself…",7.8
#1617,Miss Gu Who Is Silent,Chinese Drama - 2020,20 episodes,"To ease her grief over her brother’s death, Gu Qing Zhou plans to change her name and conceal her identity. She tries to avenge her brother by going after the people who wronged him. However, someone else is already…",7.8
#1618,Love The Way You Are,Chinese Drama - 2019,24 episodes,"Zhen Yuan Yuan is a plump girl who fell in love with her high school senior, Ruan Dong Shen. They were separated by a misunderstanding. Many years later they reunited. At that point, Yuan Yuan had become a slim fashion…",7.9
#1619,Wednesday 3:30 PM,Korean Drama - 2017,15 episodes,"If you still can’t get over your ex-boyfriend, how do you win his heart back? Seon Eun Woo was dumped by her boyfriend, Baek Seung Gyu. But she can’t get over her feelings for him and wants him back. Then she has…",7.9
#1620,Love at Night,Chinese Drama - 2021,30 episodes,"Xu Qing You is a hard-working, focused woman with a senior position at an up-and-coming firm. She is devoted to her job and is also in a relationship with Fan Yun Xi, whom she has been dating for 10 years. They are planning…",7.9
#1621,Journey to the West Season 2,Hong Kong Drama - 1998,42 episodes,"The theme for this series was changed from love to piety and friendship. We would see more of relationships between mother and son, master and disciple, brother and brother, and among friends.

(Source: spcnet.tv)",7.8
#1622,Night Doctor,Japanese Drama - 2021,11 episodes,"Japan's emergency medical care system suffers from a severe labor shortage. Overtime work per doctor in emergency medical care rises, with a lack of experienced doctors being the cause of the problem. Night time emergency…",7.8
