Most Popular,Movie Rank,Movie Name,Original Language - Year of Release,MDL Rating
105,#849,Crazy Little Thing Called Love,Thai Movie - 2010,8.3
106,#733,Little Forest,Korean Movie - 2018,8.4
107,#1459,I Saw the Devil,Korean Movie - 2010,8.2
108,#770,Memories of Murder,Korean Movie - 2003,8.4
109,#7919,High School Debut,Japanese Movie - 2011,7.2
110,#6888,Strobe Edge,Japanese Movie - 2015,7.4
111,#7602,No Touching At All,Japanese Movie - 2014,7.3
112,#1058,The Negotiation,Korean Movie - 2018,8.3
113,#4343,Silhouette of Your Voice,Japanese Movie - 2017,7.7
114,#7796,Just Friends?,Korean Movie - 2009,7.2
115,#1881,Seobok,Korean Movie - 2021,8.1
116,#2444,Love Reset,Korean Movie - 2023,8.0
117,#1223,"The Gangster, the Cop and the Devil",Korean Movie - 2019,8.2
118,#3184,My Little Monster,Japanese Movie - 2018,7.8
119,#2950,Your Lie in April,Japanese Movie - 2016,7.9
120,#1659,"My Tomorrow, Your Yesterday",Japanese Movie - 2016,8.1
121,#3079,Time to Hunt,Korean Movie - 2020,7.8
122,#7099,The Cornered Mouse Dreams of Cheese,Japanese Movie - 2020,7.3
123,#369,Bad Genius,Thai Movie - 2017,8.6
124,#699,Our Secret Diary,Japanese Movie - 2023,8.4
125,#7353,2gether: The Movie,Thai Movie - 2021,7.3
126,#1418,The Con Artists,Korean Movie - 2014,8.2
127,#3603,Death Note: The Last Name,Japanese Movie - 2006,7.8
128,#8026,Drowning Love,Japanese Movie - 2016,7.2
129,#1135,A Year-End Medley,Korean Movie - 2021,8.3
130,#2254,The Pirates 2: The Last Royal Treasure,Korean Movie - 2022,8.0
131,#1103,To My Star (Movie),Korean Movie - 2021,8.3
132,#624,Confessions,Japanese Movie - 2010,8.4
133,#7698,Lovely Complex,Japanese Movie - 2006,7.3
134,#9473,A Round Trip to Love,Chinese Movie - 2016,6.9
135,#1570,Okja,Korean Movie - 2017,8.1
136,#2255,Marry My Dead Body,Taiwanese Movie - 2022,8.0
137,#449,The Yin-Yang Master: Dream of Eternity,Chinese Movie - 2020,8.5
138,#951,Hwayi: A Monster Boy,Korean Movie - 2013,8.3
139,#7096,Love Forecast,Korean Movie - 2015,7.3
140,#7943,Irresistible Love: Secret of the Valet,Chinese Movie - 2016,7.2
141,#1942,Where Your Eyes Linger (Movie),Korean Movie - 2020,8.1
142,#2843,Postman to Heaven,Korean Movie - 2009,7.9
143,#1165,The Classic,Korean Movie - 2003,8.3
144,#2662,One Week Friends,Japanese Movie - 2017,7.9
145,#933,Life: Love on the Line (Director's Cut),Japanese Movie - 2020,8.3
146,#9701,Dangerous Drugs of Sex,Japanese Movie - 2020,6.8
147,#1065,Brave Citizen,Korean Movie - 2023,8.3
148,#175,Swing Kids,Korean Movie - 2018,8.8
149,#814,Miss Granny,Korean Movie - 2014,8.4
150,#10458,Real,Korean Movie - 2017,6.4
151,#1560,Miss & Mrs. Cops,Korean Movie - 2019,8.1
152,#6120,Burning,Korean Movie - 2018,7.5
153,#2775,The Villainess,Korean Movie - 2017,7.9
154,#1507,Blind,Korean Movie - 2011,8.2
155,#2043,Mood of the Day,Korean Movie - 2016,8.0
156,#2318,The King and the Clown,Korean Movie - 2005,8.0
157,#2481,My Rainy Days,Japanese Movie - 2009,8.0
158,#2159,Night in Paradise,Korean Movie - 2021,8.0
159,#6982,Finding Mr. Destiny,Korean Movie - 2010,7.3
160,#295,Semantic Error: The Movie,Korean Movie - 2022,8.7
161,#8235,He Was Cool,Korean Movie - 2004,7.2
162,#9844,Cheese in the Trap,Korean Movie - 2018,6.8
163,#4107,Monster,Korean Movie - 2014,7.7
164,#8,Break the Silence: The Movie,Korean Movie - 2020,9.2
165,#5109,A Tale of Two Sisters,Korean Movie - 2003,7.6
166,#516,Emergency Declaration,Korean Movie - 2022,8.5
167,#10614,Red Wine in the Dark Night,Thai Movie - 2015,5.9
168,#6872,Penny Pinchers,Korean Movie - 2011,7.4
169,#9543,Love Love You,Thai Movie - 2015,6.9
170,#3215,The Wailing,Korean Movie - 2016,7.8
171,#4302,Nana,Japanese Movie - 2005,7.7
172,#4210,L♥DK: Two Loves Under One Roof,Japanese Movie - 2019,7.7
173,#692,Us and Them,Chinese Movie - 2018,8.4
174,#408,Innocent Witness,Korean Movie - 2019,8.6
175,#1088,Pandora,Korean Movie - 2016,8.3
176,#5522,Honey,Japanese Movie - 2018,7.5
177,#2755,Love the Way You Are,Chinese Movie - 2019,7.9
178,#6681,So Young 2: So You're Still Here,Chinese Movie - 2016,7.4
179,#2038,Heavenly Forest,Japanese Movie - 2006,8.0
180,#6702,Architecture 101,Korean Movie - 2012,7.4
181,#3298,Seoul Vibe,Korean Movie - 2022,7.8
182,#1012,The Battleship Island,Korean Movie - 2017,8.3
183,#1380,Alienoid 1,Korean Movie - 2022,8.2
184,#4662,Step for You,Korean Movie - 2018,7.6
185,#820,Kim Ji Young: Born 1982,Korean Movie - 2019,8.4
186,#7152,Ouran High School Host Club The Movie,Japanese Movie - 2012,7.3
187,#2308,Ditto,Korean Movie - 2022,8.0
188,#670,The Childe,Korean Movie - 2023,8.4
189,#5515,My Teacher,Japanese Movie - 2017,7.5
190,#5687,Black Butler,Japanese Movie - 2014,7.5
191,#1367,Confidential Assignment,Korean Movie - 2017,8.2
192,#7292,Peach Girl,Japanese Movie - 2017,7.3
193,#5099,In Between Seasons,Korean Movie - 2018,7.6
194,#5205,L: Change the World,Japanese Movie - 2008,7.6
195,#6810,Wonderland,Korean Movie - 2024,7.4
196,#1364,Tunnel,Korean Movie - 2016,8.2
197,#8166,My Bromance,Thai Movie - 2014,7.2
198,#2806,Commitment,Korean Movie - 2013,7.9
199,#4492,BLEACH,Japanese Movie - 2018,7.6
200,#6607,Seducing Mr. Perfect,Korean Movie - 2006,7.4
201,#4611,The Host,Korean Movie - 2006,7.6
202,#5781,My Girlfriend is an Agent,Korean Movie - 2009,7.5
203,#6858,Once Upon a Time,Chinese Movie - 2017,7.4
204,#2391,Crows Zero,Japanese Movie - 2007,8.0
205,#7258,Irresistible Love 2,Chinese Movie - 2016,7.3
206,#1189,Secret,Taiwanese Movie - 2007,8.2
207,#10201,Takumi-kun Series 1: And The Spring Breeze Whispers,Japanese Movie - 2007,6.6
208,#8081,Project Wolf Hunting,Korean Movie - 2022,7.2
209,#9140,Love's Coming,Thai Movie - 2014,7.0
210,#3292,We Were There: Part 1,Japanese Movie - 2012,7.8
211,#2312,Windstruck,Korean Movie - 2004,8.0
212,#5611,As the Gods Will,Japanese Movie - 2014,7.5
213,#9773,A Round Trip to Love Part 2,Chinese Movie - 2016,6.8
214,#1371,Recalled,Korean Movie - 2021,8.2
215,#1268,I Want to Eat Your Pancreas,Japanese Movie - 2017,8.2
216,#58,Monster,Japanese Movie - 2023,9.0
217,#9895,Codename: Jackal,Korean Movie - 2012,6.8
218,#1757,Decibel,Korean Movie - 2022,8.1
219,#8853,No Regret,Korean Movie - 2006,7.1
220,#345,Rurouni Kenshin: The Final,Japanese Movie - 2021,8.6
221,#3434,One Way Trip,Korean Movie - 2016,7.8
222,#374,Rurouni Kenshin: The Beginning,Japanese Movie - 2021,8.6
223,#1591,Tazza 2: The Hidden Card,Korean Movie - 2014,8.1
224,#1728,Chihayafuru: Kami no Ku,Japanese Movie - 2016,8.1
225,#7725,Death Bell,Korean Movie - 2008,7.3
226,#939,Flying Colors,Japanese Movie - 2015,8.3
227,#6618,Two Weddings and a Funeral,Korean Movie - 2012,7.4
228,#1725,Scandal Makers,Korean Movie - 2008,8.1
229,#2397,Broker,Korean Movie - 2022,8.0
230,#10212,The Blue Hour,Thai Movie - 2015,6.6
231,#683,Shoot My Heart,Korean Movie - 2015,8.4
232,#6674,The Silenced,Korean Movie - 2015,7.4
233,#5098,A Man and a Woman,Korean Movie - 2016,7.6
234,#3732,Coin Locker Girl,Korean Movie - 2015,7.8
235,#2823,The Pirates,Korean Movie - 2014,7.9
236,#10399,Wotakoi: Love Is Hard for Otaku,Japanese Movie - 2020,6.4
237,#4365,Concrete Utopia,Korean Movie - 2023,7.7
238,#1606,My Name Is Loh Kiwan,Korean Movie - 2024,8.1
239,#419,Ip Man,Hong Kong Movie - 2008,8.6
240,#2272,Suddenly Seventeen,Chinese Movie - 2016,8.0
241,#2604,The Living Dead,Chinese Movie - 2019,7.9
242,#1721,The Swindlers,Korean Movie - 2017,8.1
243,#9947,Attack on the Pin-Up Boys,Korean Movie - 2007,6.7
244,#772,Liar Game: The Final Stage,Japanese Movie - 2010,8.4
245,#9703,Double Mints,Japanese Movie - 2017,6.8
246,#1353,The Odd Family: Zombie on Sale,Korean Movie - 2019,8.2
247,#2941,Yaksha: Ruthless Operations,Korean Movie - 2022,7.9
248,#5156,I'm Underage But I'm Not a Child,Japanese Movie - 2017,7.6
249,#2294,Gokusen: The Movie,Japanese Movie - 2009,8.0
250,#822,Cry Me a Sad River,Chinese Movie - 2018,8.4
251,#5549,Gonjiam: Haunted Asylum,Korean Movie - 2018,7.5
252,#1747,Confession of Murder,Korean Movie - 2012,8.1
253,#952,Shark: The Beginning,Korean Movie - 2021,8.3
254,#1978,Cold Eyes,Korean Movie - 2013,8.1
